question_id,question_text,domain,ground_truth,question_length
315,In which year did the husband of Jean Case of the Case Foundation retire from the company he had co-founded?,Pop Culture,2003,108
316,Who is the director of Attack on Titan?,Pop Culture,Shinji Higuchi,39
317,"Which is marketed primarily to a younger audience, 2600: The Hacker Quarterly or Tiger Beat?",Pop Culture,Tiger Beat,92
318,When did the first films for the universe containing the Arrowverse start production?,Pop Culture,2011,85
319,"What player with the nickname ""Pistol Pete"" lost to Greg Rusedski in the 1998 Paris Open – Singles?",Pop Culture,Pete Sampras,99
320,"Who has performed with more band, Trey Anastasio or Sarah Nixey?",Pop Culture,Trey Anastasio,64
321,Keyhole bullet entry is a feature of -,Healthcare,Ricochet bullet,38
322,Osteoblastic metastasis is seen -,Healthcare,Prostate carcinoma,33
323,"A 60-year-old male has bone pain, vertebral collapse, fracture pelvis, the probable diagnosis is:",Healthcare,Secondaries,97
324,What is the most appropriate for diagnosis of CBD stones,Healthcare,ERCP,56
325,Excess dietary intake of carbohydrates increases the RDA level of:,Healthcare,Thiamine,66
326,Reactivation tuberculosis and primary squamous cell carcinoma of the lung are similar in that they both are commonly associated with:,Healthcare,Cavitation,133
327,In epidemics measles vaccine is to be given within how many days of exposure ?,Healthcare,3 days,78
328,Geographic lytic lesions in the vault of the skull with bevelled edges are seen with:,Healthcare,Eosinophilic granuloma,85
329,Most common cause of rubeosis iridis is,Healthcare,Diabetes mellitus,39
330,Oho-toluidine test measures the levels of:-,Healthcare,Both free and combined chlorine,43
331,Type of collagen forming basement membrane of kidney,Healthcare,IV,52
332,Myofibroblast is seen in -,Healthcare,Wound margin,26
333,"During a voluntary movement, the Golgi tendon organ provides the central nervous system with information about",Healthcare,The tension developed by the muscle being moved,110
334,Which one of the following drugs exacerbate reflux esophagitis?,Healthcare,Theophylline,63
335,"Food poisoning in ""Canned food"" is usually due to:",Healthcare,Clostridia,50
336,Modified BPS consists of :,Healthcare,NST with AFI,26
337,Empyema necessitans is defined as so when ?,Healthcare,Pleural empyema is showing extension to the subcutaneous tissue,43
338,A man was diagnosed to have myositis ossificans progressive at the age of 20 years. He died five years later. What is the most probable cause of his death -,Healthcare,Starvation and chest infection,156
339,An immunocompromised person presents to PGI with history of seizures had an MRI that revealed a temporal lobe lesion. Brain biopsy results showed multinucleated giant cells with intranuclear inclusions. The most probable cause of the lesion is:,Healthcare,Herpes simplex virus,244
340,The free edge of which of of the following ligament contains ligamentum teres hepatis?,Healthcare,Falciform ligament,86
341,Inseion of pectoralis major is at:,Healthcare,Lateral lip of bicipital groove of humerus,34
342,Hinge fracture is seen in:,Healthcare,Basilar skull fracture,26
343,Linitis plastica is found in A/E -,Healthcare,Leiomyosarcoma,34
344,Axillary aery is divided into 3 pas by,Healthcare,Pectoralis minor,38
345,"A young child of 7 years age is seen with indurated ulcers, lymphadenopathy and fever. The likely treatment is:",Healthcare,Symptomatic treatment,111
346,Nucleosides consist of?,Healthcare,Base + sugar,23
347,The danger area of the face is so called because of the connection of the facial veins to the cavernous sinus through the,Healthcare,Superior ophthalmic vein,121
348,Human anatomical waste should be disposed in-,Healthcare,Yellow bag,45
349,Sodium 2-mercapto ethane sulfonate is used as a protective agent in:,Healthcare,Cancer chemotherapy,68
350,7 years old child presents with a lesion in upper tibia. X-ray shows radiolucent area with Codman's triangle and Sunray appearance. Diagnosis is-,Healthcare,Osteosarcoma,145
351,True about protein A of staph aureus -,Healthcare,Binds to Fc poion of lgG,38
352,Diganosis of polio -,Healthcare,Detection of polio virus in stool,20
353,An IQ between 50 & 70 would be classified as what kind mental retardation –,Healthcare,Mild,75
354,Zero-order kinetics occur in the following drug with high dose,Healthcare,Phenytoin and Theophylline,62
355,DOC for the treatment of Tularemia is:,Healthcare,Streptomycin,38
356,A girl with normal stature and minimal or absent pubertal development is seen in:,Healthcare,Kallman syndrome,81
357,A child present with albinism. He should be evaluated for?,Healthcare,Eye consultation,58
358,Which feature is found only in the left lung?,Healthcare,Cardiac notch,45
359,Best absorbable monosaccharide,Healthcare,Glucose,30
360,"The following patient on Methotrexate, steroids and NSAIDs for past 4 months has had no retardation of disease progression. What is the next rational step in management?",Healthcare,Add Sulfasalazine,169
361,Which scientific principle is the basis for thermodilution method used in measurement of cardiac output by pulmonary catheter,Healthcare,Stewa-Hamilton equation,125
362,Neutral substances are transported across the cell membrane by,Healthcare,Diffusion,62
363,"What is meant by ""Suppositions child"" -",Healthcare,Child fictitiously claimed by a woman,39
364,"Most accurate and safest method to diagnose viable pregnancy at 6 weeks:(AIIMS May 2015, Nov 2014, May 2013)",Healthcare,USG for fetal cardiac activity,108
365,The abnormal preoperative pulmonary function test in a patient with severe kyphoscoliosis includes,Healthcare,Normal RV and decreasd TLC,98
366,"A 24 years old primigravida wt = 57 kg, Hb 11.0 gm % visits an antenatal clinic during 2nd trimester of pregnancy seeking advice on dietary intake. She should be advised -",Healthcare,Additional intake of 300 K. Cal,171
367,Crown-Rump length of 120 mm means the gestational age is:,Healthcare,14 weeks,57
368,Alpha 1a selective blocker is,Healthcare,Tamsulosin,29
369,Quinsy is synonymous with -,Healthcare,Peritonsillar abscess,27
370,Most common site of cholangiocarcinoma?,Healthcare,Hilum,39
371,The immediate treatment of 10 kg weight infants presented with tetany,Healthcare,IV calcium gluconate with cardiac monitoring,69
372,"The most frequent cause of fracture of a root tip
during extraction of a primary molar is",Healthcare,Root resorption between apex and bifurcation,89
373,Cholangiocarcinoma most commonly metastases to-,Healthcare,Liver,47
374,Drug resistance in Tuberculosis is due to ?,Healthcare,Mutation,43
375,IQ value of Imbecile according to weehsler Intelligence scale,Healthcare,25 - 49,61
376,A Clinical sign of mania is?,Healthcare,Flights of ideas,28
377,"The part of sequence of RNA coding for a protein and it's mutated sequence is given below.

Normal sequence : AGC- GCC- GAA- AGA- AAG- AUG- ACG
Mutated sequence : AGC- GCC- GAA- UGA- AAG- AUG- ACG

Type of mutation shown above is",Healthcare,Nonsense mutation,229
378,Damage to pneumotaxic center produces ?,Healthcare,Deep and slow respiration,39
379,Painless effusions in joints in congenital syphilis is called,Healthcare,Clutton' s joints,61
380,The complication least likely to occur in a case of chronic bronchitis is:,Healthcare,Spontaneous pneumothorax,74
381,"In allergic pharyngitis, granularity in posterior pharynx is due to ?",Healthcare,Hyperplasia of submucosal lymphoid tissue,69
382,Development of labia majora is from,Healthcare,Genital swelling,35
383,Unilateral undescended around ?,Healthcare,12 months of age,31
384,The largest bursa in the body is:,Healthcare,Subacromial bursa,33
385,A patient presented with a 1 X 1.5 cms growth on the lateral border of the tongue. The treatment indicated would be,Healthcare,Interstitial brachytherapy,115
386,Bluish tympanic membrane is seen in:,Healthcare,Glue ear,36
387,Which one of the following marker is useful in differentiating between mesothelioma and adenocarcinoma.,Healthcare,Calretinin,103
388,Ascospore is,Healthcare,Sexual spore,12
389,Conclusive test for semen: Jharkhand 11,Healthcare,Acid phosphatase test,39
390,A 80 years old male presented with lung abscess in left upper zone. Best treatment of modalities is,Healthcare,Antibiotics according to organisms,99
391,Sigmoid volvulus rotation occurs,Healthcare,Anticlockwise,32
392,"A 25 year old female underwent septic aboion, which is the most likely site for embolism of tricuspid valve vegetation?",Healthcare,Lung,119
393,What effect does hyperventilation have on the oxygen binding affinity of hemoglobin?,Healthcare,P50 decreases and the oxygen affinity increases,84
394,Deletion of one alpha globin gene on one chromosome is best defined as,Healthcare,Alpha thalassemia silent carrier,70
395,True statement regarding Prevalence:,Healthcare,Measures all cases,36
396,Thyroid hormone receptor which is predominantly expressed in CNS/Brain -,Healthcare,b - 1,72
397,Investigation of choice for hydrocephalus in infants:,Healthcare,Cranial USG,53
398,Renal vein thrombosis (RVT) may be seen in :,Healthcare,All,44
399,"In children below age of 8 years, high Level of cranio-facial disjunction of Lefort III classification is rarely seen because:",Healthcare,There is lack of poorly developed ethmoidal & sphenoidal sin us,126
400,"Middle aged man presents with complaints of weakness, fatigue and hyperpigmentation. On examination hepatomegaly and Hypoglycemia are present. Diagnosis",Healthcare,Hemochromatosis,152
