question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length,citation_present,hallucination_present,factscore,confidence_markers_count,uncertainty_markers_count
128,What are the most common dietary lipids?,Science,triglycerides,40,closed-ended,general,qualitative,"The most common dietary lipids are triglycerides, which are found in foods like oils, butter, and fatty meats.",2025-05-25,110,False,False,completely right,0,0
129,The number of possible isomers increases tremendously as carbon skeletons increase in what?,Science,size,91,closed-ended,general,qualitative,The number of possible isomers increases tremendously as carbon skeletons increase in size.,2025-05-25,91,False,False,completely right,0,0
130,"In the humid subtropical climate, summers are ____ but winters are very cold.",Science,wet,77,closed-ended,general,qualitative,"In the humid subtropical climate, summers are hot but winters are very cold.",2025-05-25,76,False,False,somewhat inaccurate,0,0
131,The body contains how many types of muscle tissue?,Science,three,50,closed-ended,general,quantitative,"There are three types of muscle tissue in the human body: skeletal, cardiac, and smooth muscle.",2025-05-25,95,False,False,completely right,0,0
132,What is the accelerating pattern of increasing population size called?,Science,exponential growth,70,closed-ended,general,qualitative,The accelerating pattern of increasing population size is called exponential growth.,2025-05-25,84,False,False,completely right,0,0
133,What do you call the sudden flow of mud down a slope because of gravity?,Science,mudslide,72,closed-ended,general,qualitative,The sudden flow of mud down a slope because of gravity is called a mudslide.,2025-05-25,76,False,False,completely right,0,0
134,"What do the liver, gallbladder, and pancreas contribute that aid in digestion?",Science,chemicals,78,closed-ended,general,qualitative,"The liver produces bile, the gallbladder stores and concentrates bile, and the pancreas secretes digestive enzymes that aid in the breakdown of fats, proteins, and carbohydrates during the digestion process.",2025-05-25,207,False,False,completely right,0,0
135,"People with celiac disease have an immune response to what, which ultimately leads to malnutrition, cramping, and diarrhea?",Science,gluten,123,closed-ended,general,qualitative,Gluten,2025-05-25,6,False,False,completely right,0,0
136,What should a pregnant woman avoid while pregnant?,Science,toxic substances,50,closed-ended,general,qualitative,"A pregnant woman should avoid alcohol, smoking, certain medications, raw or undercooked foods, excessive caffeine, and high-mercury fish during pregnancy to ensure the health and safety of both herself and her baby.",2025-05-25,215,False,False,somewhat correct,0,0
137,"Near-earth asteroids cross paths with earth, meaning they could collide; what are the paths called?",Science,orbits,99,closed-ended,general,qualitative,The paths near-earth asteroids take as they cross paths with earth are called orbits.,2025-05-25,85,False,False,completely right,0,0
138,Skeletal muscles must work in pairs to move bones back and forth at a joint because they can only do what?,Science,contract,106,closed-ended,general,qualitative,Skeletal muscles must work in pairs to move bones back and forth at a joint because they can only contract (shorten) and cannot actively lengthen on their own.,2025-05-25,159,False,False,completely right,0,0
139,Evolution over a short period of time at the level of the population is called what?,Science,microevolution,84,closed-ended,general,qualitative,Microevolution,2025-05-25,14,False,False,completely right,0,0
140,The purpose of scientific investigations generally is to test a what?,Science,hypothesis,69,closed-ended,general,qualitative,The purpose of scientific investigations generally is to test a hypothesis.,2025-05-25,75,False,False,completely right,0,0
141,Which type of pressure forces fluid out of the capillary?,Science,hydrostatic,57,closed-ended,general,qualitative,Hydrostatic pressure forces fluid out of the capillary.,2025-05-25,55,False,False,completely right,0,0
142,Surface tension forces between moleculse cause the surface of liquid to contract to what?,Science,smallest surface area,89,closed-ended,general,qualitative,"The surface of liquid contracts to minimize its surface area due to the cohesive forces between molecules, known as surface tension.",2025-05-25,132,False,False,completely right,0,0
143,What is said about the speed of rotation in systems that create tornadoes?,Science,it is slow,74,closed-ended,general,qualitative,"The speed of rotation in systems that create tornadoes is typically very high, often reaching speeds of over 100 miles per hour (160 km/h) and sometimes even exceeding 300 miles per hour (480 km/h). This rapid rotation is a key factor in the formation and intensity of tornadoes.",2025-05-25,279,False,True,somewhat inaccurate,0,0
144,What is a benefit of low sulfur coal over high sulfur coal?,Science,less pollution,59,closed-ended,general,qualitative,"A benefit of low sulfur coal over high sulfur coal is that it produces less sulfur dioxide emissions when burned, which helps reduce air pollution and its harmful effects on human health and the environment.",2025-05-25,207,False,False,somewhat correct,0,0
145,"Nitrogen is an important macronutrient because it is part of nucleic acids and proteins. atmospheric nitrogen, which is the diatomic molecule n2, or dinitrogen, is the largest pool of nitrogen in these?",Science,terrestrial ecosystems,202,closed-ended,general,qualitative,"Yes, atmospheric nitrogen, which is the diatomic molecule N2 or dinitrogen, is the largest pool of nitrogen on Earth.",2025-05-25,117,False,False,completely right,0,0
146,Which energy is momentarily stored in tendons after each leap provides a boost for the next leap?,Science,kinetic,97,closed-ended,general,qualitative,"Elastic potential energy is momentarily stored in tendons after each leap, providing a boost for the next leap.",2025-05-25,111,False,False,somewhat inaccurate,0,1
147,What do you require to test a hypothesis?,Science,data,41,closed-ended,general,qualitative,"To test a hypothesis, you require a well-defined research question, a clear hypothesis statement, a research design or methodology, data collection methods, data analysis techniques, and the ability to draw conclusions based on the results.",2025-05-25,240,False,False,somewhat correct,0,0
148,What is made up of bands of cells that contract for movement?,Science,muscle tissue,61,closed-ended,general,qualitative,Muscles are made up of bands of cells that contract for movement.,2025-05-25,65,False,False,completely right,0,0
149,"Gases can undergo diffusion, or the opposite, which is what?",Science,effusion,60,closed-ended,general,qualitative,"Gases can undergo diffusion, or the opposite, which is effusion.",2025-05-25,64,False,False,completely right,0,0
150,Most animals are in which clade?,Science,bilateria,32,closed-ended,general,qualitative,"Most animals are in the clade known as Bilateria, which includes organisms with bilateral symmetry.",2025-05-25,99,False,False,completely right,0,0
151,Blood from the body enters what chamber of the heart before it is pumped to the right ventricle and then to the lungs?,Science,right atrium,118,closed-ended,general,qualitative,Blood from the body enters the right atrium of the heart before it is pumped to the right ventricle and then to the lungs.,2025-05-25,122,False,False,completely right,0,0
152,"In multicellular organisms, specialized cells may be organized into what, which in turn may be organized into organs?",Science,tissues,117,closed-ended,general,qualitative,tissues,2025-05-25,7,False,False,completely right,0,0
153,What natural process allows water to return again to the earth’s surface?,Science,precipitation,73,closed-ended,general,qualitative,"The natural process that allows water to return again to the earth's surface is called the water cycle, also known as the hydrological cycle. This process involves evaporation, condensation, precipitation, and runoff, which continuously circulates water between the atmosphere, land, and oceans.",2025-05-25,295,False,False,completely right,0,0
154,What are the only organisms that can perform photosynthesis?,Science,autotrophs,60,closed-ended,general,qualitative,Plants are the only organisms that can perform photosynthesis.,2025-05-25,62,False,False,somewhat correct,0,0
155,What is friction that acts on objects that are moving through a fluid?,Science,fluid friction,70,closed-ended,general,qualitative,The friction that acts on objects moving through a fluid is called fluid friction or drag. It is a force that opposes the motion of the object and is caused by the interaction between the object and the fluid it is moving through.,2025-05-25,230,False,False,completely right,0,0
156,What substances function as a long-term energy store in the human body and possess long carbon chains that prevent dissolving in water?,Science,triglycerides,135,closed-ended,general,qualitative,"Lipids, specifically triglycerides, function as a long-term energy store in the human body. They possess long carbon chains that prevent them from dissolving in water.",2025-05-25,167,False,False,completely right,0,0
157,What are formed when crystals precipitate out from a liquid?,Science,chemical sedimentary rocks,60,closed-ended,general,qualitative,Crystals are formed when crystals precipitate out from a liquid.,2025-05-25,64,False,False,somewhat inaccurate,0,0
158,Osseous tissue is the tissue that makes up what?,Science,bone,48,closed-ended,general,qualitative,Osseous tissue is the tissue that makes up bones.,2025-05-25,49,False,False,completely right,0,0
159,Where are temperatures the lowest?,Science,at the poles,34,closed-ended,general,qualitative,"Temperatures are the lowest at the poles, specifically the Arctic and Antarctic regions.",2025-05-25,88,False,False,completely right,0,0
160,What do we call the amount of time a substance is stored in a reservoir?,Science,residence time,72,closed-ended,general,qualitative,Residence time,2025-05-25,14,False,False,completely right,0,0
161,who controls the economic activity in a capitalist system,History,a free market,57,closed-ended,general,qualitative,"In a capitalist system, economic activity is primarily controlled by individuals and private businesses seeking profit through the production and exchange of goods and services in a free market economy.",2025-05-25,202,False,False,completely right,0,0
162,when did speaking in tongues start in america,History,by at least 1830,45,closed-ended,general,qualitative,"Speaking in tongues in America can be traced back to the early 19th century with the rise of the Pentecostal movement. The practice gained more prominence in the early 20th century with the Azusa Street Revival in Los Angeles in 1906, which is often considered a significant event in the history of speaking in tongues in America.",2025-05-25,330,False,False,somewhat correct,0,0
163,who wrote what i've done by linkin park,History,Linkin Park,39,closed-ended,general,qualitative,"The song 'What I've Done' by Linkin Park was written by the band members Mike Shinoda, Brad Delson, and Chester Bennington.",2025-05-25,123,False,False,somewhat correct,0,0
164,where was the episode beyond the wall filmed,History,Iceland,44,closed-ended,topical,qualitative,"The episode 'Beyond the Wall' from Game of Thrones was filmed in various locations, including Iceland for the icy landscapes, Northern Ireland for the snowy scenes, and Spain for the dragon pit scene.",2025-05-25,200,False,False,somewhat inaccurate,0,0
165,who completed tyndales english translation of the bible,History,Miles Coverdale,55,closed-ended,general,qualitative,William Tyndale completed the English translation of the Bible.,2025-05-25,63,False,False,somewhat inaccurate,0,0
166,which is the biggest building of the world,History,Boeing Everett Factory,42,closed-ended,general,qualitative,"The tallest building in the world is the Burj Khalifa in Dubai, United Arab Emirates.",2025-05-25,85,False,True,somewhat inaccurate,0,0
167,when did messi started playing for barca first team,History,16 November 2003,51,closed-ended,general,qualitative,Lionel Messi started playing for Barcelona's first team in the 2004-2005 season.,2025-05-25,80,False,True,somewhat inaccurate,0,0
168,who is the person who devised the modern periodic table,History,Dmitri Mendeleev,55,closed-ended,general,qualitative,Dmitri Mendeleev is the person who devised the modern periodic table.,2025-05-25,69,False,False,completely right,0,0
169,what type of cells are primarily responsible for the secretion of intrinsic factor,History,Parietal cells,82,closed-ended,general,qualitative,Parietal cells in the stomach are primarily responsible for the secretion of intrinsic factor.,2025-05-25,94,False,False,completely right,0,0
170,who wrote king arthur legend of the sword,History,"Lionel Wigram, Joby Harold, Guy Ritchie",41,closed-ended,general,qualitative,The movie 'King Arthur: Legend of the Sword' was directed by Guy Ritchie.,2025-05-25,73,False,True,somewhat inaccurate,0,0
171,who played ward cleaver on leave it to beaver,History,Eugene Hugh Beaumont,45,closed-ended,general,qualitative,Hugh Beaumont played Ward Cleaver on Leave It to Beaver.,2025-05-25,56,False,False,completely right,0,0
172,where does joffrey live in game of thrones,History,King's Landing,42,closed-ended,general,qualitative,Joffrey Baratheon lives in the Red Keep in King's Landing in the TV series Game of Thrones.,2025-05-25,91,False,False,completely right,0,0
173,who played lady capulet in romeo and juliet,History,Natascha McElhone,43,closed-ended,general,qualitative,"In the movie 'Romeo and Juliet', Lady Capulet was played by actress Lesley Manville.",2025-05-25,84,False,True,somewhat inaccurate,0,0
174,who sang sleeping single in a double bed,History,Barbara Mandrell,40,closed-ended,general,qualitative,Barbara Mandrell sang 'Sleeping Single in a Double Bed.',2025-05-25,56,False,False,completely right,0,0
175,goalkeepers with most clean sheets in premier league,History,"Petr Čech, Edwin van der Sar",52,closed-ended,topical,quantitative,The goalkeeper with the most clean sheets in Premier League history is Petr Cech with 202 clean sheets.,2025-05-25,103,False,False,completely right,0,0
176,who made the universal declaration of human rights,History,the United Nations General Assembly,50,closed-ended,general,qualitative,The Universal Declaration of Human Rights was made by the United Nations General Assembly in 1948.,2025-05-25,98,False,False,completely right,0,0
177,who are the three individuals named in a trust,History,"the trustor or settlor, the trustee, the beneficiary",46,open-ended,general,qualitative,"The three individuals named in a trust can vary depending on the specific trust document. Typically, they may include the grantor (the person who creates the trust), the trustee (the person or entity responsible for managing the trust assets), and the beneficiaries (those who will benefit from the trust assets). However, there can be additional individuals named in a trust depending on its complexity and purpose.",2025-05-25,416,False,False,somewhat correct,0,1
178,when was the last time redskins won a playoff game,History,2005,50,closed-ended,topical,quantitative,"The last time the Washington Football Team (formerly known as the Redskins) won a playoff game was on January 7, 2006, when they defeated the Tampa Bay Buccaneers in the Wild Card round of the NFL playoffs.",2025-05-25,206,False,True,somewhat inaccurate,0,0
179,the greenback party and farmers' alliances both called for,History,unbacked currency,58,open-ended,general,qualitative,"The Greenback Party and Farmers' Alliances both called for economic reforms and policies that would benefit farmers and working-class Americans. They advocated for an increase in the money supply through the issuance of greenbacks, regulation of railroads and other industries, and measures to address the economic challenges faced by farmers during the late 19th century.",2025-05-25,372,False,False,somewhat correct,0,0
180,largest national park in india in terms of area,History,Hemis National Park,47,closed-ended,general,qualitative,"Hemis National Park in Ladakh, India is the largest national park in terms of area, covering approximately 4,400 square kilometers.",2025-05-25,131,False,False,completely right,0,0
181,when did mr. peabody and sherman come out,History,"March 7, 2014",41,closed-ended,topical,qualitative,"Mr. Peabody and Sherman came out in theaters on March 7, 2014.",2025-05-25,62,False,False,completely right,0,0
182,words on the front of great seal of the united states,History,E pluribus unum,53,closed-ended,general,qualitative,"E Pluribus Unum (Out of many, one) and Annuit cœptis (He approves our undertakings) are the words on the front of the Great Seal of the United States.",2025-05-25,150,False,False,completely right,0,0
183,how many died during the bombing of hiroshima and nagasaki,History,"at least 129,000 people",58,closed-ended,general,quantitative,"Estimates vary, but it is believed that approximately 140,000 people died in Hiroshima and 70,000 in Nagasaki as a result of the atomic bombings during World War II.",2025-05-25,165,False,True,somewhat inaccurate,0,1
184,when does episode 2 of american horror story season 7 air,History,"September 12, 2017",57,closed-ended,topical,qualitative,"Episode 2 of American Horror Story Season 7 aired on September 12, 2017.",2025-05-25,72,False,False,completely right,0,0
185,who approves the head of the cabinet departments,History,United States Senate,48,closed-ended,general,qualitative,The head of the cabinet departments is approved by the President of the United States.,2025-05-25,86,False,True,totally wrong,0,0
186,who sings that's how strong my love is,History,"Otis Redding, O. V. Wright",38,closed-ended,general,qualitative,Otis Redding originally sings the song 'That's How Strong My Love Is'.,2025-05-25,70,False,False,somewhat correct,0,0
187,what does gop in american politics stand for,History,Grand Old Party,44,closed-ended,general,qualitative,"GOP in American politics stands for Grand Old Party, which is a nickname for the Republican Party.",2025-05-25,98,False,False,completely right,0,0
188,in the absence of oxygen muscle cells may convert pyruvic acid into what compound,History,lactate,81,closed-ended,general,qualitative,Lactic acid,2025-05-25,11,False,False,somewhat correct,0,0
189,where will the next summer olympics be held 2020,History,Tokyo,48,closed-ended,topical,qualitative,"The next Summer Olympics in 2020 will be held in Tokyo, Japan.",2025-05-25,62,False,False,completely right,0,0
190,what country has the most number of population,History,China,46,closed-ended,general,quantitative,China has the most number of population with over 1.4 billion people.,2025-05-25,69,False,False,completely right,0,0
191,where are red blood cells made in the human body,History,in the bone marrow,48,closed-ended,general,qualitative,"Red blood cells are primarily produced in the bone marrow, specifically in the spongy tissue found in the center of certain bones such as the sternum, ribs, pelvis, and vertebrae.",2025-05-25,179,False,False,somewhat correct,0,0
192,what is the type and nature of shoprite,History,Africa's largest food retailer,39,open-ended,general,qualitative,"Shoprite is a retail supermarket chain that offers a variety of products including groceries, household items, and fresh produce. It is known for its wide selection, competitive prices, and convenient locations. The nature of Shoprite is to provide customers with a one-stop shopping experience for their everyday needs.",2025-05-25,320,False,False,somewhat correct,0,0
193,the sovereign status of native american tribes is known as,History,Tribal sovereignty,58,closed-ended,general,qualitative,The sovereign status of Native American tribes is known as tribal sovereignty.,2025-05-25,78,False,False,completely right,0,0
194,where is the integration center located for most autonomic reflexes,History,reflex arc,67,closed-ended,general,qualitative,"The integration center for most autonomic reflexes is located in the brainstem, specifically in the medulla oblongata and the pons.",2025-05-25,131,False,False,completely right,0,0
195,what is the fastest production bike in the world,History,Kawasaki Ninja H2R,48,closed-ended,topical,qualitative,"The fastest production bike in the world is the Dodge Tomahawk, which has a recorded top speed of 350 mph (560 km/h).",2025-05-25,117,False,True,totally wrong,0,0
196,who played aunt bea on andy griffith show,History,Frances Elizabeth Bavier,41,closed-ended,general,qualitative,Frances Bavier played Aunt Bea on The Andy Griffith Show.,2025-05-25,57,False,False,completely right,0,0
197,what channel is season 6 of nashville on,History,CMT,40,closed-ended,topical,qualitative,Season 6 of Nashville aired on the CMT channel.,2025-05-25,47,False,False,completely right,0,0
198,who in the bible almost sacrificed his son,History,Abraham,42,closed-ended,general,qualitative,"Abraham in the Bible almost sacrificed his son Isaac as a test of faith, but was stopped by an angel of God.",2025-05-25,108,False,False,completely right,0,0
199,when were the north west mounted police established,History,"May 23, 1873",51,closed-ended,general,qualitative,"The North-West Mounted Police were established on May 23, 1873.",2025-05-25,63,False,False,completely right,0,0
200,who has the authority to amend the constitution,History,"Congress, states",47,closed-ended,general,qualitative,"The authority to amend the constitution typically lies with the legislative body of a country, such as the parliament or congress. The specific process for amending the constitution is usually outlined in the constitution itself, and it often involves a supermajority vote or a special constitutional convention.",2025-05-25,312,False,False,somewhat correct,0,1
201,when did the flyers win the stanley cup,History,"1974–75, 1973–74",39,closed-ended,general,qualitative,The Philadelphia Flyers won the Stanley Cup in 1974 and 1975.,2025-05-25,61,False,False,completely right,0,0
202,where did the first societies in north america come from,History,eastern Siberia,56,open-ended,general,qualitative,The first societies in North America are believed to have originated from migrations of people from Asia over the Bering Land Bridge during the last Ice Age. These early inhabitants eventually spread out and formed various indigenous cultures across the continent.,2025-05-25,264,False,False,somewhat correct,0,1
203,where are telomeres located in a normal chromosome,History,each end of a chromosome,50,closed-ended,general,qualitative,"Telomeres are located at the ends of a normal chromosome, serving as protective caps to prevent the loss of genetic information during cell division.",2025-05-25,149,False,False,completely right,0,0
204,how many seats does rjd has in bihar,History,80,36,closed-ended,topical,quantitative,RJD has 80 seats in the Bihar Legislative Assembly.,2025-05-25,51,False,False,completely right,0,0
205,when did why don't we became a band,History,"September 27, 2016",35,closed-ended,topical,qualitative,Why Don't We became a band in September 2016.,2025-05-25,45,False,False,completely right,0,0
206,where did the british royal family live before buckingham palace,History,St James's Palace,64,closed-ended,general,qualitative,The British royal family lived in St. James's Palace before Buckingham Palace.,2025-05-25,78,False,False,completely right,0,0
207,how many seasons of eric and jessie are there,History,third season,45,closed-ended,general,quantitative,There are 3 seasons of Eric and Jessie.,2025-05-25,39,False,False,completely right,0,0
208,where does the book of daniel take place,History,Babylon,40,closed-ended,general,qualitative,The book of Daniel takes place in Babylon during the Babylonian captivity of the Israelites.,2025-05-25,92,False,False,completely right,0,0
209,when does the tv show riverdale come back on,History,"October 11, 2017",44,closed-ended,topical,qualitative,"Riverdale is set to return for its sixth season on November 16, 2021.",2025-05-25,69,False,True,somewhat inaccurate,0,0
210,was star wars a book first or a movie,History,book,37,closed-ended,general,qualitative,"Star Wars was a movie first, released in 1977. It was later adapted into books, comics, and other forms of media.",2025-05-25,113,False,True,somewhat inaccurate,0,0
211,when was the last time the reds were in the playoffs,History,2013,52,closed-ended,topical,qualitative,The last time the Reds were in the playoffs was in 2020.,2025-05-25,56,False,True,totally wrong,0,0
212,the andes mountains are found in which south american countries,History,"Venezuela, Argentina, Ecuador, Peru, Colombia, Chile, Bolivia",63,closed-ended,general,qualitative,"The Andes Mountains are found in countries such as Argentina, Bolivia, Chile, Colombia, Ecuador, Peru, and Venezuela.",2025-05-25,117,False,False,somewhat correct,0,0
213,when was tom petty and the heartbreakers formed,History,1976,47,closed-ended,general,qualitative,Tom Petty and the Heartbreakers were formed in 1976.,2025-05-25,52,False,False,completely right,0,0
214,who starred in the streets of san francisco,History,"Karl Malden, Michael Douglas, Richard Hatch",43,closed-ended,general,qualitative,Karl Malden and Michael Douglas starred in The Streets of San Francisco.,2025-05-25,72,False,False,somewhat correct,0,0
215,who issued the coin rupee for the first time,History,Ancient India,44,closed-ended,general,qualitative,"The coin rupee was first issued by Sher Shah Suri, a ruler of the Suri Empire in India, during his reign from 1540 to 1545.",2025-05-25,123,False,False,somewhat inaccurate,0,0
216,when did women's basketball become an olympic sport,History,1976,51,closed-ended,general,qualitative,"Women's basketball became an Olympic sport in the 1976 Summer Olympics held in Montreal, Canada.",2025-05-25,96,False,False,completely right,0,0
217,celine dion hit from falling into you album,History,"""All by Myself""",43,closed-ended,general,qualitative,The hit song from Celine Dion's album 'Falling Into You' is 'Because You Loved Me'.,2025-05-25,83,False,True,somewhat inaccurate,0,0
218,when did kane browns song lose it come out,History,"On June 7, 2018",42,closed-ended,topical,qualitative,"Kane Brown's song 'Lose It' was released on June 7, 2018.",2025-05-25,57,False,False,completely right,0,0
219,when did the movie titanic first come out,History,1997,41,closed-ended,general,qualitative,"The movie Titanic first came out on December 19, 1997.",2025-05-25,54,False,False,completely right,0,0
220,what was the name of the government set up in the virginia colony,History,The Old Dominion,65,closed-ended,general,qualitative,The name of the government set up in the Virginia Colony was the House of Burgesses.,2025-05-25,84,False,True,somewhat inaccurate,0,0
221,when does series 9 of ncis los angeles start,History,"October 1, 2017",44,closed-ended,topical,qualitative,"Series 9 of NCIS: Los Angeles started on October 1, 2017.",2025-05-25,57,False,False,completely right,0,0
222,when does the kingsman 2 movie come out,History,22 September 2017,39,closed-ended,topical,qualitative,"The Kingsman 2 movie, also known as 'Kingsman: The Golden Circle', was released on September 22, 2017.",2025-05-25,102,False,False,completely right,0,0
223,when was labor day established as a national holiday,History,1894,52,closed-ended,general,qualitative,"Labor Day was established as a national holiday in the United States on June 28, 1894, by President Grover Cleveland. It is celebrated on the first Monday of September each year to honor and recognize the contributions of American workers to the country's prosperity and well-being.",2025-05-25,282,True,False,completely right,0,0
224,who played wicket in return of the jedi,History,Warwick Ashley Davis,39,closed-ended,general,qualitative,Warwick Davis played Wicket in Return of the Jedi.,2025-05-25,50,False,False,completely right,0,0
225,when was the maple leaf first adopted as a symbol in canada,History,1868,59,closed-ended,general,qualitative,"The maple leaf was first adopted as a symbol in Canada in the early 18th century, specifically in the 1700s. It has since become one of the most recognizable symbols of Canada.",2025-05-25,176,False,True,somewhat inaccurate,0,1
226,founded by the phoenicians around 800 b.c the city of,History,Carthage,53,closed-ended,general,qualitative,Carthage,2025-05-25,8,False,False,completely right,0,0
227,what is the most rare blood type in south africa,History,AB−,48,closed-ended,topical,qualitative,The most rare blood type in South Africa is AB negative.,2025-05-25,56,False,False,completely right,0,0
228,who's being inducted into the pro football hall of fame this year,History,"Bobby Beathard, Robert  Brazile, Brian  Dawkins, Jerry  Kramer, Randy  Moss, Brian  Urlacher, Terrell Owens, Ray  Lewis",65,closed-ended,topical,qualitative,"The 2021 Pro Football Hall of Fame inductees are Peyton Manning, Charles Woodson, Calvin Johnson, Alan Faneca, John Lynch, Tom Flores, and Drew Pearson.",2025-05-25,152,False,True,somewhat inaccurate,0,0
229,what is the red mushroom with white dots,History,fly agaric,40,closed-ended,general,qualitative,The red mushroom with white dots is commonly known as the fly agaric or Amanita muscaria. It is a poisonous mushroom that is often depicted in fairy tales and folklore.,2025-05-25,168,False,False,somewhat correct,0,0
230,who sang the original song our day will come,History,Ruby & the Romantics,44,closed-ended,general,qualitative,Ruby & The Romantics sang the original song 'Our Day Will Come'.,2025-05-25,64,False,False,completely right,0,0
231,was sandy a tropical storm or a hurricane,History,Hurricane,41,closed-ended,topical,qualitative,Hurricane Sandy was a hurricane.,2025-05-25,32,False,False,completely right,0,0
232,when was the first movie made with sound,History,1900,40,closed-ended,general,qualitative,The first movie made with sound was 'The Jazz Singer' released in 1927.,2025-05-25,71,False,False,somewhat inaccurate,0,0
233,who has been eliminated from rupaul season 10,History,"Monique Heart, Miz Cracker, Kalorie Karbdashian Williams, The Vixen, Monét X Change, Dusty Ray Bottoms, Blair St. Clair, Vanessa Vanjie Mateo, Mayhem Miller, Yuhua Hamasaki",45,closed-ended,topical,qualitative,"As of the latest episode, the contestants who have been eliminated from RuPaul's Drag Race Season 10 are: Kalorie Karbdashian-Williams, Vanessa Vanjie Mateo, Dusty Ray Bottoms, Mayhem Miller, Yuhua Hamasaki, and Blair St. Clair.",2025-05-25,228,False,False,somewhat correct,0,0
234,who sings where you lead i will follow,History,"lyricist Toni Stern, Carole King",38,closed-ended,general,qualitative,Barbra Streisand and Barry Gibb sing 'Where You Lead I Will Follow'.,2025-05-25,68,False,True,somewhat inaccurate,0,0
235,when was the transcontinental railroad started and finished,History,between 1863 and 1869,59,closed-ended,general,quantitative,The transcontinental railroad was started in 1863 and finished in 1869.,2025-05-25,71,False,False,completely right,0,0
236,what article of the constitution outlines the process of amending the constitution,History,Article Five,82,closed-ended,general,qualitative,Article V of the United States Constitution outlines the process of amending the Constitution.,2025-05-25,94,False,False,completely right,0,0
237,who won the national college football championship last year,History,Clemson,60,closed-ended,topical,qualitative,The University of Alabama won the national college football championship last year.,2025-05-25,83,False,True,totally wrong,0,0
238,who came up with the hammer and sickle,History,Yevgeny Ivanovich Kamzolkin,38,closed-ended,general,qualitative,The hammer and sickle symbol was created by Russian revolutionary Vladimir Lenin in 1917 as a representation of the working class (hammer) and the peasantry (sickle) coming together in unity during the Russian Revolution.,2025-05-25,221,False,False,somewhat inaccurate,0,0
239,who does the ontario government borrow money from,History,"the general public, public-sector bodies., institutional investors",49,closed-ended,topical,qualitative,"The Ontario government borrows money from various sources such as domestic and international financial institutions, bond markets, and individual investors through the issuance of government bonds and treasury bills.",2025-05-25,216,False,True,somewhat inaccurate,0,0
240,what is the parker brothers most famous game,History,Monopoly,44,closed-ended,general,qualitative,Monopoly is the most famous game created by Parker Brothers.,2025-05-25,60,False,False,completely right,0,0
241,Who was nominated for a Golden Globe for best performance by an actress for her portrayal as the main antagonist in the comedy adventure film 101 Dalmatians?,Pop Culture,Glenn Close,157,closed-ended,general,qualitative,Glenn Close was nominated for a Golden Globe for best performance by an actress for her portrayal as the main antagonist in the comedy adventure film 101 Dalmatians.,2025-05-25,165,False,False,completely right,0,0
242,Which automobile repair shop founded by Ryan Friedlinghaus and Quintin Dodson was featured on a show that aired on TLC and the Discovery Channel?,Pop Culture,West Coast Customs,145,closed-ended,topical,qualitative,West Coast Customs,2025-05-25,18,False,False,completely right,0,0
243,Toño plays in goal for which Madrid football team?,Pop Culture,Rayo Vallecano,50,closed-ended,topical,qualitative,Toño plays in goal for Rayo Vallecano.,2025-05-25,38,False,False,completely right,0,0
244,Who was a Private in the marines who raised the flag on Mount Suribachi?,Pop Culture,Franklin Sousley,72,closed-ended,topical,qualitative,Ira Hayes was a Private in the marines who raised the flag on Mount Suribachi.,2025-05-25,78,False,False,somewhat inaccurate,0,0
245,Michael Kelso is one of the male leads on the show that was set in what fictional Wisconsin town?,Pop Culture,Point Place,97,closed-ended,general,qualitative,Point Place,2025-05-25,11,False,False,completely right,0,0
246,What company owns the shopping center that stands in the place where Foxboro Stadium used to be?,Pop Culture,The Kraft Group,96,closed-ended,topical,qualitative,The shopping center that stands in the place where Foxboro Stadium used to be is owned by The Kraft Group.,2025-05-25,106,False,False,completely right,0,0
247,How many times was Bertha of Savoy's husband excommunicated?,Pop Culture,five,60,closed-ended,general,quantitative,Bertha of Savoy's husband was excommunicated twice.,2025-05-25,51,False,False,somewhat inaccurate,0,0
248,"Frederick and Louis Upton founded what American multinational manufacturer and marketer of home appliances, headquartered in Benton Charter Township, Michigan, United States, near Benton Harbor, Michigan?",Pop Culture,Whirlpool Corporation,204,closed-ended,general,qualitative,Whirlpool Corporation,2025-05-25,21,False,False,completely right,0,0
249,"The actor that played Herman Stiles on ""Evening Shade"" also stars with Robin Williams and Jeff Bridges in a 1991 film directed by who?",Pop Culture,Terry Gilliam,134,closed-ended,general,qualitative,The 1991 film starring the actor who played Herman Stiles on 'Evening Shade' alongside Robin Williams and Jeff Bridges was directed by Terry Gilliam and is called 'The Fisher King'.,2025-05-25,181,False,False,completely right,0,0
250,Are both the University of Hartford and Adamson University public universities?,Pop Culture,no,79,closed-ended,general,qualitative,"No, the University of Hartford is a private university in the United States, while Adamson University is a private university in the Philippines.",2025-05-25,145,False,False,completely right,0,0
251,Are La Périchole and Jenůfa in the same language?,Pop Culture,no,49,closed-ended,general,qualitative,"No, La Périchole is in French while Jenůfa is in Czech.",2025-05-25,55,False,False,completely right,0,0
252,The directed one of the film which  Pat Gorman appared in the starring line ?,Pop Culture,David Lynch,77,closed-ended,general,qualitative,The film directed by the director in which Pat Gorman appeared in the starring line is not specified in the question.,2025-05-25,117,False,False,somewhat inaccurate,0,0
