question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length
98,Seawalls and breakwaters are built parallel to what?,Science,shore,52,closed-ended,general,qualitative,"Seawalls and breakwaters are built parallel to the shoreline or coastline. These structures are designed to protect coastal areas from wave action, erosion, and storm surge by being positioned along the coast to absorb or deflect wave energy.",2025-05-25,242
99,What is the term for something in the environment that causes a reaction in an organism?,Science,stimulus,88,closed-ended,general,qualitative,"A stimulus is something in the environment that causes a reaction or response in an organism. Stimuli can be external (like light, sound, temperature, or touch) or internal (like hunger, thirst, or pain). The organism detects the stimulus through sensory receptors and responds through behavioral or physiological changes.",2025-05-25,322
100,What is the process where light bounces back from surfaces that it cannot pass through?,Science,reflection,87,closed-ended,general,qualitative,"Reflection is the process where light bounces back from surfaces that it cannot pass through. When light hits a surface like a mirror or polished metal, it bounces off at the same angle at which it hit the surface, following the law of reflection. This law states that the angle of incidence equals the angle of reflection, measured from a line perpendicular to the surface.",2025-05-25,374
101,What property of ocean water increases rapidly as the water gets deeper?,Science,pressure,72,closed-ended,general,qualitative,"Pressure increases rapidly with ocean depth, rising by approximately 1 atmosphere (14.7 pounds per square inch) for every 10 meters of depth. This means at 1,000 meters deep, the pressure is about 100 times greater than at the surface. This intense pressure results from the weight of the water column above pressing down on deeper layers.",2025-05-25,339
102,How do bipedal creatures walk?,Science,on two legs,30,open-ended,general,qualitative,"Bipedal creatures walk through a complex sequence of coordinated movements that maintain balance while propelling the body forward. The basic walking cycle involves:

1. Weight shifting from one leg to the other
2. Forward swing of the non-weight-bearing leg
3. Heel strike of the swinging foot
4. Rolling through the foot from heel to toe
5. Push-off from the back foot
6. Repeat with opposite leg

This creates a continuous pattern where one foot is always in contact with the ground. The arms typically swing in opposition to the legs to maintain balance. The brain coordinates multiple muscle groups, joints, and the vestibular system to maintain stability throughout the motion. The pelvis and spine also shift slightly during walking to minimize energy expenditure and maintain smooth forward progression.

Different bipedal species have variations in their exact walking mechanics based on their anatomy, but they follow this general pattern of alternating steps while maintaining balance over their center of gravity.",2025-05-25,1025
103,A life cycle continues through reproduction and what?,Science,development,53,closed-ended,general,qualitative,"A life cycle continues through reproduction and growth/development. After reproduction creates new offspring, those organisms must grow, mature, and develop into adults capable of reproducing themselves, thus completing and continuing the cycle.",2025-05-25,245
104,The diagnosis of a disease or condition before the baby is born is called?,Science,prenatal diagnosis,74,closed-ended,general,qualitative,"Prenatal diagnosis. This involves testing for diseases or conditions in a developing fetus before birth through methods such as amniocentesis, chorionic villus sampling (CVS), ultrasound, or blood tests performed on the mother.",2025-05-25,227
105,What term is used to describe the process of removing wastes and excess water from the body?,Science,excretion,92,closed-ended,general,qualitative,"Excretion is the process of removing wastes and excess water from the body. This biological process involves filtering toxic substances, metabolic wastes, and excess water through organs like the kidneys, skin, lungs, and liver. The main excretory products include urine, sweat, carbon dioxide, and feces.",2025-05-25,305
106,"In many polychaetes, the parapodia are richly supplied with blood vessels and also function as what?",Science,gills,100,closed-ended,general,qualitative,"In many polychaetes, the parapodia function as respiratory organs or gills. The rich blood vessel supply allows for efficient gas exchange between the animal's blood and the surrounding water, enabling oxygen uptake and carbon dioxide release.",2025-05-25,243
107,Bond lengths are intermediate between covalent single bonds and what?,Science,covalent double bonds,69,closed-ended,general,qualitative,Bond lengths are intermediate between covalent single bonds and van der Waals distances (the distance between non-bonded atoms).,2025-05-25,128
108,What do you call plastids that contain the green pigment chlorophyll?,Science,chloroplasts,69,closed-ended,general,qualitative,"Chloroplasts are plastids that contain the green pigment chlorophyll. These organelles are responsible for photosynthesis in plants and algae, converting light energy into chemical energy in the form of glucose.",2025-05-25,211
109,The attraction of an atom for the electrons of a covalent bond is its what?,Science,electronegativity,75,closed-ended,general,qualitative,"Electronegativity is an atom's attraction for the electrons in a covalent bond. This property increases from left to right across the periodic table and decreases from top to bottom, with fluorine being the most electronegative element.",2025-05-25,236
110,"Since eddy currents and magnetic damping occur only in conductors, recycling centers can use these to separate metals from other materials?",Science,magnets,139,closed-ended,general,qualitative,"Yes, recycling centers use eddy current separators to sort metals, particularly non-ferrous metals like aluminum, copper, and brass, from non-metallic materials. When conductive metals pass through a changing magnetic field created by rapidly spinning permanent magnets, eddy currents are induced in the metal pieces. These currents generate their own magnetic fields that interact with the original field, creating a repulsive force that literally pushes the metals away from the magnetic rotor. Non-metallic materials and non-conductive materials are unaffected and fall normally under gravity. This allows for efficient automated separation of metals from mixed waste streams.",2025-05-25,679
111,"What is the combination of tissues that provides a tough, woody external covering on the stems of trees called?",Science,bark,111,closed-ended,general,qualitative,"Bark is the tough, woody external covering on tree stems. It consists of multiple tissue layers including the outer dead tissue (cork) and inner living tissue (phloem), which together form a protective barrier that shields the tree from damage, disease, and weather while helping regulate moisture and temperature.",2025-05-25,314
112,The light-sensing cells in the retina are called rods and what else?,Science,cones,68,closed-ended,general,qualitative,"Rods and cones are the two types of photoreceptor cells in the retina. Rods are more sensitive to light and handle vision in dim conditions, while cones are responsible for color vision and function best in bright light. There are three types of cone cells, each responding to different wavelengths of light (red, green, and blue).",2025-05-25,331
113,What do you call a unique substance formed when two or more elements combine chemically?,Science,compound,88,closed-ended,general,qualitative,"A compound is a unique substance formed when two or more elements combine chemically. In a compound, the elements are joined through chemical bonds in fixed proportions, creating a substance with properties different from those of the original elements.",2025-05-25,253
114,"What do you call structures like a whale's pelvic bones, which were once attached to legs, or wings that cannot be used for flight?",Science,vestigial,131,closed-ended,general,qualitative,"Vestigial structures are remnants of features that were functional in ancestral species but have been reduced or lost their original purpose in current species through evolution. Examples include whale pelvic bones, wings in flightless birds like ostriches, the human tailbone, and the appendix. These structures provide evidence for evolutionary relationships between species and often become reduced in size or simplified over many generations when they no longer serve their original function.",2025-05-25,496
115,Protozoa can be classified on the basis of how they?,Science,move,52,closed-ended,general,qualitative,"Protozoa are classified based on their mode of locomotion, which includes:

1. Pseudopodia (amoeboid movement) - Using temporary cytoplasmic projections
Example: Amoeba

2. Flagella - Using whip-like structures for swimming
Example: Trypanosoma

3. Cilia - Using numerous short, hair-like structures for movement
Example: Paramecium

4. No specialized locomotory structures - Non-motile forms
Example: Plasmodium in some life stages

This classification system was traditionally used by zoologists, though modern classification also considers genetic relationships and molecular characteristics. The mode of movement also often correlates with their feeding mechanisms and ecological roles.",2025-05-25,690
116,What basic structures of the nervous system innervate the muscles of the respiratory system and are responsible for controlling and regulating pulmonary ventilation?,Science,neurons,165,closed-ended,general,qualitative,"The respiratory system is controlled by neural structures in both the central and peripheral nervous systems:

Central Control Centers:
- Medullary respiratory centers in the brainstem, including:
  - Dorsal respiratory group (DRG) - primarily controls inspiration
  - Ventral respiratory group (VRG) - controls both inspiration and expiration
- Pontine respiratory centers (pneumotaxic and apneustic centers) - help regulate breathing rhythm and pattern

Peripheral Components:
- Phrenic nerves (C3-C5) - innervate the diaphragm
- Intercostal nerves (T1-T11) - innervate intercostal muscles
- Vagus nerves (CN X) - provide sensory feedback from lungs and airways
- Chemoreceptors:
  - Central chemoreceptors in medulla - detect CO2/pH changes
  - Peripheral chemoreceptors in carotid/aortic bodies - detect O2, CO2, and pH

These structures work together in a coordinated network to maintain appropriate breathing patterns and respond to changing metabolic demands through both voluntary and involuntary control mechanisms.",2025-05-25,1024
117,What type of evolution often happens in species that have symbiotic relationships?,Science,coevolution,82,open-ended,general,qualitative,"Coevolution occurs in species with symbiotic relationships, where two or more species evolve reciprocal adaptations in response to selective pressures they exert on each other. This process leads to complementary traits that enhance the symbiotic relationship. Examples include flowering plants and their pollinators developing matching physical structures, or parasites and hosts evolving increasingly complex attack and defense mechanisms. The evolutionary changes in one species trigger corresponding changes in the other species, creating an ongoing cycle of adaptive responses.",2025-05-25,582
118,What type of vascular plants produce seeds in cones?,Science,gymnosperms,52,closed-ended,general,qualitative,"Gymnosperms are vascular plants that produce seeds in cones. This group includes conifers (pine trees, spruce, fir, cedars), cycads, ginkgoes, and gnetophytes. The cones are technically modified leaves arranged in a spiral pattern, with male cones producing pollen and female cones containing ovules that develop into seeds after fertilization. Conifers are the largest and most familiar group of cone-bearing plants, with over 600 species worldwide.",2025-05-25,450
119,Atmospheric pressure can be measured with what tool?,Science,barometer,52,closed-ended,general,quantitative,"A barometer is used to measure atmospheric pressure. There are two main types: mercury barometers, which use a column of mercury in a glass tube to measure air pressure, and aneroid barometers, which use a small, flexible metal box that expands or contracts as air pressure changes. Digital barometers are modern versions that use electronic sensors to measure atmospheric pressure.",2025-05-25,382
120,"Would you find cells that contain a cell wall, a large central vacuole, and plastids in plant or animal cells?",Science,plant cells,110,closed-ended,general,qualitative,"These features (cell wall, large central vacuole, and plastids) are found in plant cells. Animal cells lack cell walls and instead have only a cell membrane. While animal cells may have small vacuoles, they don't have the large central vacuole characteristic of plant cells. Plastids, including chloroplasts for photosynthesis, are unique to plant cells and are not found in animal cells.",2025-05-25,388
121,An atom that gains or loses electrons is called what?,Science,ion,53,closed-ended,general,qualitative,"An atom that gains or loses electrons is called an ion. When an atom loses electrons, it becomes a positively charged ion (cation). When an atom gains electrons, it becomes a negatively charged ion (anion).",2025-05-25,206
122,What measures the amount of water in the air?,Science,humidity,45,closed-ended,general,quantitative,"A hygrometer measures the amount of water vapor (humidity) in the air. There are several types of hygrometers, including:

1. Mechanical hygrometers - use human hair or synthetic fibers that expand/contract with moisture
2. Psychrometers - compare readings between wet and dry thermometer bulbs
3. Electronic hygrometers - use sensors to detect changes in electrical resistance or capacitance caused by moisture
4. Dew point hygrometers - measure the temperature at which water vapor condenses

The measurements are typically expressed as relative humidity (percentage of maximum possible water vapor at that temperature) or absolute humidity (actual mass of water vapor per volume of air).",2025-05-25,690
123,"What kind of scientist is concerned with facets of geomorphology, topography, vegetation, and climate?",Science,soil scientist,102,closed-ended,general,qualitative,"A physical geographer studies these aspects of Earth's natural features and systems. Physical geography focuses on understanding and analyzing landforms (geomorphology), surface features and elevation (topography), plant life (vegetation), and atmospheric conditions and patterns (climate). This branch of geography examines how these different elements interact with each other and change over time through both natural processes and human influences.",2025-05-25,452
124,Which material used in oxyacetylene torches helps cut and weld metals?,Science,acetylene,70,closed-ended,general,qualitative,"Acetylene (C2H2) is the primary fuel gas used in oxyacetylene torches. When combined with oxygen, acetylene produces an extremely hot flame reaching temperatures up to 6,300°F (3,480°C). This intense heat allows the torch to effectively cut and weld metals by melting the material at the point of contact.",2025-05-25,305
125,What forces in liquids are strong enough to keep them from expanding significantly when heated?,Science,intermolecular forces,95,closed-ended,general,qualitative,"Intermolecular forces, particularly hydrogen bonding and van der Waals forces, keep liquid molecules close together and resist expansion when heated. These attractive forces between molecules are strong enough to maintain the liquid's volume while still allowing molecules to move past each other. The combination of these forces and the incompressibility of molecules themselves results in liquids having very low thermal expansion coefficients compared to gases.",2025-05-25,464
126,What arteries carry oxygen-poor blood away from the heart to the lungs?,Science,pulmonary,71,closed-ended,general,qualitative,"The pulmonary arteries carry deoxygenated (oxygen-poor) blood from the right ventricle of the heart to the lungs. This is unique because they are the only arteries in the body that carry deoxygenated blood - all other arteries carry oxygen-rich blood. The pulmonary arteries branch into smaller vessels called arterioles and eventually into tiny capillaries in the lungs where gas exchange occurs, allowing the blood to pick up oxygen and release carbon dioxide.",2025-05-25,462
127,Some biochemical processes happen via sequences of reactions which are called what?,Science,pathways,83,closed-ended,general,qualitative,"Metabolic pathways or biochemical pathways are sequences of connected chemical reactions in biological systems where the product of one reaction serves as the substrate for the next reaction. These pathways are typically catalyzed by enzymes and work together to break down nutrients, synthesize new molecules, or transfer chemical energy.",2025-05-25,339
128,What are the most common dietary lipids?,Science,triglycerides,40,closed-ended,general,qualitative,"The most common dietary lipids are:

1. Triglycerides (90-95% of dietary fat)
- Found in cooking oils, butter, animal fats
- Made up of three fatty acids attached to glycerol

2. Phospholipids
- Present in cell membranes
- Found in egg yolks, organ meats, soybeans

3. Cholesterol
- Found in animal products like eggs, meat, dairy
- Important for hormone production and cell membranes

4. Fatty acids
- Saturated (meat, dairy, coconut oil)
- Monounsaturated (olive oil, avocados)
- Polyunsaturated (fish, nuts, seeds)
- Essential fatty acids (omega-3 and omega-6)

These lipids serve various functions including energy storage, insulation, protection of organs, and cellular structure maintenance.",2025-05-25,697
129,The number of possible isomers increases tremendously as carbon skeletons increase in what?,Science,size,91,closed-ended,general,qualitative,"The number of possible isomers increases tremendously as carbon skeletons increase in length and complexity. Each additional carbon atom creates more possibilities for different arrangements of atoms and branching patterns, leading to exponentially more structural and stereoisomers. For example, while butane (C4H10) has only 2 isomers, octane (C8H18) has 18 isomers, and decane (C10H22) has 75 isomers.",2025-05-25,404
130,"In the humid subtropical climate, summers are ____ but winters are very cold.",Science,wet,77,closed-ended,general,qualitative,"hot and muggy

The humid subtropical climate is characterized by hot, humid summers with temperatures typically ranging from 25-35°C (77-95°F), while winters can be quite cold with occasional freezing temperatures, especially in regions farther from the equator.",2025-05-25,262
131,The body contains how many types of muscle tissue?,Science,three,50,closed-ended,general,quantitative,"There are 3 types of muscle tissue in the human body: skeletal muscle (striated/voluntary), cardiac muscle (heart muscle), and smooth muscle (involuntary).",2025-05-25,155
132,What is the accelerating pattern of increasing population size called?,Science,exponential growth,70,closed-ended,general,qualitative,"Exponential growth is the accelerating pattern of increasing population size, where the growth rate becomes faster over time as the population gets larger. This occurs because more individuals are reproducing simultaneously, leading to multiplicative increases rather than linear ones.",2025-05-25,285
133,What do you call the sudden flow of mud down a slope because of gravity?,Science,mudslide,72,closed-ended,general,qualitative,"A mudslide or mudflow is the sudden flow of mud down a slope due to gravity. It's a type of mass wasting event where water-saturated soil and rock material rapidly moves downhill. These events are also sometimes called debris flows when they contain a mixture of mud, rock, and other debris. Mudslides typically occur after heavy rainfall or rapid snowmelt when the ground becomes oversaturated with water, reducing friction and causing the soil mass to break free and flow downslope.",2025-05-25,484
134,"What do the liver, gallbladder, and pancreas contribute that aid in digestion?",Science,chemicals,78,closed-ended,general,qualitative,"The liver, gallbladder, and pancreas contribute essential substances for digestion:

Liver:
- Produces bile, which emulsifies fats to help break them down
- Stores vitamins and minerals
- Processes and stores nutrients from digested food
- Detoxifies harmful substances

Gallbladder:
- Stores and concentrates bile produced by the liver
- Releases bile into small intestine when needed for fat digestion
- Controls timing and amount of bile release based on food intake

Pancreas:
- Produces pancreatic enzymes that break down proteins, fats, and carbohydrates
- Secretes sodium bicarbonate to neutralize stomach acid
- Releases hormones (insulin and glucagon) that regulate blood sugar
- Produces lipase, amylase, and protease enzymes for digestion

These organs work together to enable proper breakdown and absorption of nutrients from food.",2025-05-25,843
135,"People with celiac disease have an immune response to what, which ultimately leads to malnutrition, cramping, and diarrhea?",Science,gluten,123,closed-ended,general,qualitative,"Gluten, a protein found in wheat, rye, barley, and some other grains. When people with celiac disease consume gluten, their immune system attacks the small intestine's lining, damaging the villi (tiny finger-like projections that absorb nutrients). This damage prevents proper nutrient absorption, leading to malnutrition and the other symptoms.",2025-05-25,345
136,What should a pregnant woman avoid while pregnant?,Science,toxic substances,50,closed-ended,general,qualitative,"During pregnancy, women should avoid:

Foods and Beverages:
- Raw or undercooked meat, fish, and eggs
- Unpasteurized dairy products
- High-mercury fish (shark, swordfish, king mackerel, tuna)
- Raw sprouts
- Unwashed produce
- Alcohol
- Excessive caffeine (limit to 200mg daily)
- Unpasteurized juices

Activities:
- Hot tubs and saunas
- Contact sports
- Scuba diving
- Heavy lifting
- Changing cat litter (risk of toxoplasmosis)
- Exposure to harmful chemicals/paint fumes

Substances:
- Tobacco/smoking
- Recreational drugs
- Certain medications (consult doctor)

Environmental:
- X-rays (unless necessary and with proper shielding)
- Harmful chemicals/cleaning products
- Lead exposure
- Mercury exposure

Beauty/Personal Care:
- Certain essential oils
- Retinoids in skincare
- Hair dyes in first trimester
- Certain acne medications

Always consult healthcare provider about specific medications, supplements, and activities during pregnancy.",2025-05-25,949
137,"Near-earth asteroids cross paths with earth, meaning they could collide; what are the paths called?",Science,orbits,99,closed-ended,general,qualitative,"Near-Earth asteroids that cross Earth's orbit are classified into three main orbital paths:

1. Amors - Asteroids with orbits that come close to but do not cross Earth's orbit
2. Apollos - Asteroids with orbits that cross Earth's orbit from outside (semi-major axis larger than Earth's)
3. Atens - Asteroids with orbits that cross Earth's orbit from inside (semi-major axis smaller than Earth's)

These crossing paths are collectively known as Earth-crossing orbits or Earth-crossing trajectories. The asteroids following these paths are also called Earth-crossers or potentially hazardous asteroids (PHAs) if they come within 0.05 AU of Earth's orbit and are larger than 140 meters in diameter.",2025-05-25,695
138,Skeletal muscles must work in pairs to move bones back and forth at a joint because they can only do what?,Science,contract,106,closed-ended,general,qualitative,"Skeletal muscles can only pull (contract) - they cannot push. This is why they must work in antagonistic pairs, with one muscle contracting to move a bone in one direction while its opposing partner relaxes, and vice versa for movement in the opposite direction. For example, the biceps contracts to bend the elbow while the triceps relaxes, and the triceps contracts to straighten the elbow while the biceps relaxes.",2025-05-25,417
139,Evolution over a short period of time at the level of the population is called what?,Science,microevolution,84,closed-ended,general,qualitative,"Microevolution is the term for evolutionary changes that occur over a relatively short time period within a population or species, involving changes in allele frequencies from one generation to the next.",2025-05-25,203
140,The purpose of scientific investigations generally is to test a what?,Science,hypothesis,69,closed-ended,general,qualitative,"Scientific investigations generally test a hypothesis - a proposed explanation or prediction about a phenomenon that can be tested through systematic observation, measurement, and experimentation.",2025-05-25,196
141,Which type of pressure forces fluid out of the capillary?,Science,hydrostatic,57,closed-ended,general,qualitative,"Hydrostatic pressure forces fluid out of capillaries. This pressure results from the force of blood being pumped by the heart, which creates pressure within the blood vessels. At the arteriolar end of capillaries, the hydrostatic pressure is approximately 35 mmHg, which helps push fluid through the capillary walls into the surrounding tissues.",2025-05-25,345
142,Surface tension forces between moleculse cause the surface of liquid to contract to what?,Science,smallest surface area,89,closed-ended,general,qualitative,"Surface tension forces between molecules cause the liquid surface to contract to the smallest possible surface area, which typically results in a spherical shape when unconstrained by other forces. This minimization of surface area occurs because surface molecules are pulled inward by neighboring molecules, creating a natural tendency to reduce the total surface exposed to air.",2025-05-25,380
143,What is said about the speed of rotation in systems that create tornadoes?,Science,it is slow,74,closed-ended,general,qualitative,"The rotation speed in tornado-forming systems varies significantly between different parts of the storm system. The initial mesocyclone (rotating updraft) in a supercell thunderstorm typically rotates at 20-40 mph. As the tornado forms, rotation speeds increase dramatically, with the fastest winds occurring in the tornado vortex itself. Here, wind speeds can range from under 100 mph in weak tornadoes to over 300 mph in the most violent EF5 tornadoes. The rotation speed generally increases as you move from the outer edges toward the center of the tornado, though the very center (the eye) may be relatively calm. The speed of rotation is influenced by factors like temperature differences, moisture content, and wind shear in the atmosphere.",2025-05-25,746
144,What is a benefit of low sulfur coal over high sulfur coal?,Science,less pollution,59,closed-ended,general,qualitative,"Low sulfur coal produces fewer sulfur dioxide emissions when burned, which reduces acid rain and air pollution. This means less environmental damage and lower costs for power plants since they require less extensive (or potentially no) sulfur scrubbing equipment to meet environmental regulations.",2025-05-25,297
145,"Nitrogen is an important macronutrient because it is part of nucleic acids and proteins. atmospheric nitrogen, which is the diatomic molecule n2, or dinitrogen, is the largest pool of nitrogen in these?",Science,terrestrial ecosystems,202,closed-ended,general,qualitative,"Nitrogen is indeed most abundant in Earth's atmosphere, which consists of approximately 78% diatomic nitrogen (N₂). The atmosphere represents the largest reservoir of nitrogen on Earth, containing about 3.8 x 10¹⁵ metric tons of N₂. However, this atmospheric nitrogen is not directly usable by most organisms because the triple covalent bond between the nitrogen atoms makes N₂ extremely stable and chemically inert. Plants and other organisms can only use nitrogen after it has been ""fixed"" into more reactive compounds like ammonia (NH₃) or nitrates (NO₃⁻) through natural processes like lightning, nitrogen-fixing bacteria, or industrial processes like the Haber-Bosch process.",2025-05-25,680
146,Which energy is momentarily stored in tendons after each leap provides a boost for the next leap?,Science,kinetic,97,closed-ended,general,qualitative,"Elastic potential energy is stored in tendons after each leap and provides a boost for the next leap. When tendons stretch during landing, they temporarily store this elastic energy like a spring, which is then released during the next jump to help propel the body upward with less muscular effort.",2025-05-25,298
147,What do you require to test a hypothesis?,Science,data,41,closed-ended,general,qualitative,"To test a hypothesis, you need:

1. A clear, testable hypothesis statement
2. Independent variable(s) that can be manipulated
3. Dependent variable(s) that can be measured
4. Control group or control conditions
5. Experimental group(s)
6. Appropriate sample size
7. Reliable measurement tools/methods
8. Controlled experimental conditions
9. Data collection procedures
10. Statistical analysis methods
11. Defined parameters for accepting or rejecting the hypothesis
12. Replicable methodology

The testing process must also follow scientific method principles, maintain objectivity, and account for potential confounding variables.",2025-05-25,632
148,What is made up of bands of cells that contract for movement?,Science,muscle tissue,61,closed-ended,general,qualitative,"Muscles are made up of bands of cells that contract for movement. These cells, called muscle fibers or myocytes, are organized into bundles and contain protein filaments that slide past each other during contraction, allowing muscles to shorten and create movement. There are three types of muscle tissue: skeletal muscle (voluntary movement), smooth muscle (involuntary movement in organs), and cardiac muscle (heart contractions).",2025-05-25,432
149,"Gases can undergo diffusion, or the opposite, which is what?",Science,effusion,60,closed-ended,general,qualitative,"Compression is the opposite of diffusion in gases. While diffusion involves gas molecules spreading out to fill available space and moving from areas of high concentration to low concentration, compression forces gas molecules closer together, reducing the volume they occupy and increasing their density and pressure.",2025-05-25,318
150,Most animals are in which clade?,Science,bilateria,32,closed-ended,general,qualitative,"Deuterostomia and Protostomia are the two main clades containing most animals, with Protostomia being the larger group. Protostomes include arthropods (insects, spiders, crustaceans), mollusks, annelids, and many other invertebrate phyla. This clade represents roughly 95% of all known animal species, primarily due to the enormous diversity of insects within the arthropod group.",2025-05-25,380
151,Blood from the body enters what chamber of the heart before it is pumped to the right ventricle and then to the lungs?,Science,right atrium,118,closed-ended,general,qualitative,The right atrium receives deoxygenated blood from the body through the superior and inferior vena cava before pumping it to the right ventricle.,2025-05-25,144
152,"In multicellular organisms, specialized cells may be organized into what, which in turn may be organized into organs?",Science,tissues,117,closed-ended,general,qualitative,"Tissues. In multicellular organisms, specialized cells are organized into tissues, which are groups of similar cells that work together to perform specific functions. These tissues can then be organized into organs. The four main types of tissues in animals are epithelial, connective, muscle, and nervous tissue.",2025-05-25,313
153,What natural process allows water to return again to the earth’s surface?,Science,precipitation,73,closed-ended,general,qualitative,"The water cycle, also known as the hydrologic cycle, returns water to Earth's surface through precipitation (rain, snow, sleet, or hail). Water evaporates from oceans, lakes, and land surfaces, forming water vapor that rises into the atmosphere. This vapor cools and condenses into clouds, and when conditions are right, the water droplets become heavy enough to fall back to Earth as precipitation. This continuous cycle moves water between the atmosphere, land, and oceans, maintaining Earth's water supply and supporting all life on the planet.",2025-05-25,547
154,What are the only organisms that can perform photosynthesis?,Science,autotrophs,60,closed-ended,general,qualitative,"Plants, algae, and certain bacteria (specifically cyanobacteria and some other photosynthetic bacteria) are the only organisms capable of performing photosynthesis. These organisms contain chlorophyll and other photosynthetic pigments that allow them to capture light energy and convert it into chemical energy through photosynthesis. Some protists can also photosynthesize, either through their own chloroplasts or by harboring photosynthetic organisms within their cells in a symbiotic relationship.",2025-05-25,501
155,What is friction that acts on objects that are moving through a fluid?,Science,fluid friction,70,closed-ended,general,qualitative,Drag force (also called fluid friction or viscous drag) is the resistance force that acts on an object moving through a fluid like air or water. It occurs due to the fluid's viscosity and the object's motion through it. The drag force always acts in the direction opposite to the object's motion and increases with both the object's velocity and the fluid's density. This type of friction is described by equations like Stokes' law for laminar flow and is responsible for phenomena like terminal velocity in falling objects.,2025-05-25,524
156,What substances function as a long-term energy store in the human body and possess long carbon chains that prevent dissolving in water?,Science,triglycerides,135,closed-ended,general,qualitative,"Lipids, particularly triglycerides and fatty acids, serve as the primary long-term energy storage molecules in the human body. Their long hydrocarbon chains make them hydrophobic (water-insoluble), allowing them to be densely packed into adipose tissue. This hydrophobic nature, combined with their high energy content (9 kcal/gram compared to 4 kcal/gram for carbohydrates), makes them ideal for storing large amounts of energy in a compact form.",2025-05-25,447
157,What are formed when crystals precipitate out from a liquid?,Science,chemical sedimentary rocks,60,closed-ended,general,qualitative,"Minerals are formed when crystals precipitate out from a liquid. This process occurs when dissolved ions or molecules in a solution become supersaturated and begin to combine in regular geometric patterns, creating solid crystalline structures. Common examples include salt crystals forming as seawater evaporates, or minerals crystallizing from cooling magma. The resulting crystals have specific chemical compositions and characteristic crystal structures based on the arrangement of their atoms or molecules.",2025-05-25,511
158,Osseous tissue is the tissue that makes up what?,Science,bone,48,closed-ended,general,qualitative,"Osseous tissue makes up bones. It is a specialized type of connective tissue composed of bone cells (osteocytes) embedded in a mineralized matrix of collagen fibers and hydroxyapatite crystals. This tissue provides structural support, protects vital organs, stores minerals, and enables movement through muscle attachments.",2025-05-25,323
159,Where are temperatures the lowest?,Science,at the poles,34,closed-ended,general,qualitative,"The lowest temperatures on Earth occur in Antarctica, specifically in East Antarctica on the high plateau. The lowest reliably recorded temperature on Earth was -89.2°C (-128.6°F) at Russia's Vostok Station in Antarctica in 1983. However, satellite data has detected surface temperatures as low as -93.2°C (-135.8°F) in several spots along the East Antarctic Plateau.

Outside of Earth, temperatures get much colder in space. The coldest natural temperature in the universe is about -270.45°C (-454.81°F), just slightly above absolute zero (-273.15°C/-459.67°F). The Boomerang Nebula, located 5,000 light-years away, is currently the coldest known natural place in the universe at -272°C (-457.6°F).",2025-05-25,699
160,What do we call the amount of time a substance is stored in a reservoir?,Science,residence time,72,closed-ended,general,qualitative,"Residence time is the average length of time that a substance remains in a reservoir or system before moving to another reservoir. This can apply to elements, compounds, or particles in various natural systems like the atmosphere, oceans, or soil.",2025-05-25,247
161,who controls the economic activity in a capitalist system,History,a free market,57,closed-ended,general,qualitative,"In a capitalist system, economic activity is primarily controlled by private individuals and businesses rather than the government. These private entities make decisions about:

- What goods and services to produce
- How to produce them
- Prices of products and services
- Investment of capital
- Employment and wages
- Distribution of goods and services

Market forces of supply and demand largely determine outcomes, with consumers influencing production through their purchasing choices. The government's role is typically limited to:

- Enforcing contracts and property rights
- Preventing monopolies
- Providing essential public services
- Establishing basic regulations
- Maintaining monetary policy

This decentralized control contrasts with socialist or command economies where the government plays the dominant role in economic planning and decision-making.",2025-05-25,866
162,when did speaking in tongues start in america,History,by at least 1830,45,closed-ended,general,qualitative,"Speaking in tongues (glossolalia) gained prominence in American Christianity at the beginning of the 20th century, specifically with the Azusa Street Revival in Los Angeles in 1906. Led by William J. Seymour, this revival marked the birth of modern Pentecostalism in America and popularized speaking in tongues as a spiritual practice.

However, there were earlier instances of speaking in tongues in American religious history:

1. The Shakers reported instances in the late 1700s
2. During the Second Great Awakening (1790s-1840s), some revival meetings included glossolalia
3. The 1875 meetings led by faith healer Maria Woodworth-Etter featured speaking in tongues

The practice became more widespread after Azusa Street, leading to the formation of major Pentecostal denominations like the Assemblies of God (1914) and the subsequent Charismatic movement of the 1960s, which brought speaking in tongues into mainstream Protestant and Catholic churches.",2025-05-25,957
163,who wrote what i've done by linkin park,History,Linkin Park,39,closed-ended,general,qualitative,"""What I've Done"" was written by all six members of Linkin Park: Chester Bennington, Rob Bourdon, Brad Delson, Joe Hahn, Mike Shinoda, and Phoenix Farrell. The song was released in 2007 as the first single from their album ""Minutes to Midnight.""",2025-05-25,244
164,where was the episode beyond the wall filmed,History,Iceland,44,closed-ended,topical,qualitative,"The ""Beyond the Wall"" episode from Game of Thrones Season 7 was primarily filmed in Iceland, specifically in locations around Lake Mývatn and Vatnajökull National Park. The scenes featuring the frozen lake where Jon Snow and his group are stranded were filmed at Wolf Hill Quarry near Belfast, Northern Ireland. This quarry was transformed into the frozen landscape using artificial snow and visual effects. The production team chose Iceland for its dramatic, stark landscapes that naturally depicted the harsh environment north of the Wall, while the quarry allowed for more controlled filming conditions for the complex action sequences.",2025-05-25,639
