question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length
106,"In many polychaetes, the parapodia are richly supplied with blood vessels and also function as what?",Science,gills,100,closed-ended,general,qualitative,"In many polychaetes, the parapodia are richly supplied with blood vessels and also function as respiratory organs. They facilitate gas exchange, allowing the polychaete to absorb oxygen from the water and expel carbon dioxide.",2025-05-25,226
107,Bond lengths are intermediate between covalent single bonds and what?,Science,covalent double bonds,69,closed-ended,general,qualitative,Bond lengths are intermediate between covalent single bonds and covalent double bonds.,2025-05-25,86
108,What do you call plastids that contain the green pigment chlorophyll?,Science,chloroplasts,69,closed-ended,general,qualitative,Plastids that contain the green pigment chlorophyll are called chloroplasts.,2025-05-25,76
109,The attraction of an atom for the electrons of a covalent bond is its what?,Science,electronegativity,75,closed-ended,general,qualitative,The attraction of an atom for the electrons of a covalent bond is its electronegativity.,2025-05-25,88
110,"Since eddy currents and magnetic damping occur only in conductors, recycling centers can use these to separate metals from other materials?",Science,magnets,139,closed-ended,general,qualitative,"Yes, recycling centers can use eddy currents and magnetic damping to separate metals from other materials. Eddy current separators are commonly used in recycling facilities to sort non-ferrous metals, such as aluminum and copper, from other materials. When a conductor passes through a changing magnetic field, eddy currents are induced in the conductor, creating their own magnetic field that opposes the original field. This interaction results in a repulsive force that can be used to separate metals from non-metallic materials. This method is effective for sorting metals from mixed waste streams, enhancing the efficiency of recycling processes.",2025-05-25,651
111,"What is the combination of tissues that provides a tough, woody external covering on the stems of trees called?",Science,bark,111,closed-ended,general,qualitative,"The combination of tissues that provides a tough, woody external covering on the stems of trees is called ""bark."" Bark consists of several layers, including the outer bark (or cork), which protects the tree from physical damage and disease, and the inner bark (or phloem), which transports nutrients throughout the tree.",2025-05-25,320
112,The light-sensing cells in the retina are called rods and what else?,Science,cones,68,closed-ended,general,qualitative,The light-sensing cells in the retina are called rods and cones.,2025-05-25,64
113,What do you call a unique substance formed when two or more elements combine chemically?,Science,compound,88,closed-ended,general,qualitative,"A unique substance formed when two or more elements combine chemically is called a ""compound.""",2025-05-25,94
114,"What do you call structures like a whale's pelvic bones, which were once attached to legs, or wings that cannot be used for flight?",Science,vestigial,131,closed-ended,general,qualitative,"Structures like a whale's pelvic bones or wings that cannot be used for flight are called ""vestigial structures."" These are anatomical features that have lost their original function through the course of evolution.",2025-05-25,215
115,Protozoa can be classified on the basis of how they?,Science,move,52,closed-ended,general,qualitative,"Protozoa can be classified on the basis of how they move. The primary groups based on their mode of locomotion are:

1. **Amoeboids**: Move using pseudopodia, which are temporary projections of the cell body. An example is the Amoeba.

2. **Flagellates**: Move using one or more whip-like structures called flagella. An example is Trypanosoma.

3. **Ciliates**: Move using numerous short hair-like structures called cilia. An example is Paramecium.

4. **Sporozoans**: Generally non-motile in their mature form and often rely on host organisms for movement. An example is Plasmodium, which causes malaria.",2025-05-25,605
116,What basic structures of the nervous system innervate the muscles of the respiratory system and are responsible for controlling and regulating pulmonary ventilation?,Science,neurons,165,closed-ended,general,qualitative,"The basic structures of the nervous system that innervate the muscles of the respiratory system and are responsible for controlling and regulating pulmonary ventilation include the medulla oblongata and the pons, which are parts of the brainstem. The medulla oblongata contains the respiratory centers that generate the basic rhythm of breathing. The pons contains the pneumotaxic and apneustic centers, which modulate the activity of the medullary respiratory centers to smooth the respiratory pattern.

The phrenic nerve, originating from the cervical spinal cord (C3-C5), innervates the diaphragm, the primary muscle of respiration. Intercostal nerves, arising from the thoracic spinal cord, innervate the intercostal muscles, which assist in expanding and contracting the rib cage during breathing. Together, these neural structures and pathways coordinate the contraction and relaxation of respiratory muscles, facilitating pulmonary ventilation.",2025-05-25,951
117,What type of evolution often happens in species that have symbiotic relationships?,Science,coevolution,82,open-ended,general,qualitative,"Coevolution often occurs in species that have symbiotic relationships. This type of evolution involves reciprocal evolutionary changes in interacting species. As one species evolves, it exerts selective pressure on the other species, leading to adaptations that can enhance the symbiotic relationship. This can occur in mutualistic, commensalistic, or parasitic relationships, where the evolutionary changes in one species directly influence the evolution of the other.",2025-05-25,469
118,What type of vascular plants produce seeds in cones?,Science,gymnosperms,52,closed-ended,general,qualitative,"Gymnosperms are the type of vascular plants that produce seeds in cones. These plants do not produce flowers or fruits; instead, their seeds are exposed on the scales of cones. Common examples of gymnosperms include conifers such as pines, spruces, and firs.",2025-05-25,258
119,Atmospheric pressure can be measured with what tool?,Science,barometer,52,closed-ended,general,quantitative,Atmospheric pressure can be measured with a barometer.,2025-05-25,54
120,"Would you find cells that contain a cell wall, a large central vacuole, and plastids in plant or animal cells?",Science,plant cells,110,closed-ended,general,qualitative,"You would find cells that contain a cell wall, a large central vacuole, and plastids in plant cells. These structures are characteristic of plant cells and are not present in animal cells. The cell wall provides structural support, the large central vacuole maintains cell pressure and stores nutrients, and plastids, such as chloroplasts, are involved in photosynthesis.",2025-05-25,371
121,An atom that gains or loses electrons is called what?,Science,ion,53,closed-ended,general,qualitative,"An atom that gains or loses electrons is called an ion. If an atom gains electrons, it becomes a negatively charged ion, known as an anion. If it loses electrons, it becomes a positively charged ion, known as a cation.",2025-05-25,218
122,What measures the amount of water in the air?,Science,humidity,45,closed-ended,general,quantitative,"Humidity measures the amount of water vapor in the air. It is commonly expressed as relative humidity, which is the percentage of water vapor present in the air compared to the maximum amount the air can hold at a given temperature.",2025-05-25,232
123,"What kind of scientist is concerned with facets of geomorphology, topography, vegetation, and climate?",Science,soil scientist,102,closed-ended,general,qualitative,"A physical geographer is concerned with facets of geomorphology, topography, vegetation, and climate. Physical geography is a branch of geography that focuses on the natural environment and processes, including the study of landforms (geomorphology), the arrangement of natural and artificial physical features of an area (topography), plant life (vegetation), and atmospheric conditions (climate).",2025-05-25,398
124,Which material used in oxyacetylene torches helps cut and weld metals?,Science,acetylene,70,closed-ended,general,qualitative,"The material used in oxyacetylene torches to help cut and weld metals is acetylene gas. When combined with oxygen, acetylene produces a high-temperature flame capable of reaching temperatures around 3,500 degrees Celsius (6,332 degrees Fahrenheit), which is sufficient for cutting and welding metals.",2025-05-25,300
125,What forces in liquids are strong enough to keep them from expanding significantly when heated?,Science,intermolecular forces,95,closed-ended,general,qualitative,"In liquids, intermolecular forces, such as hydrogen bonds, dipole-dipole interactions, and van der Waals forces, are strong enough to keep the molecules relatively close together. These forces prevent the liquid from expanding significantly when heated. While heating increases the kinetic energy of the molecules, causing them to move more vigorously, the intermolecular forces still maintain a level of cohesion that limits the extent of expansion compared to gases, where such forces are much weaker.",2025-05-25,503
126,What arteries carry oxygen-poor blood away from the heart to the lungs?,Science,pulmonary,71,closed-ended,general,qualitative,The pulmonary arteries carry oxygen-poor blood away from the heart to the lungs. These arteries transport deoxygenated blood from the right ventricle of the heart to the lungs for oxygenation.,2025-05-25,192
127,Some biochemical processes happen via sequences of reactions which are called what?,Science,pathways,83,closed-ended,general,qualitative,"Biochemical processes that occur via sequences of reactions are called ""metabolic pathways.""",2025-05-25,92
128,What are the most common dietary lipids?,Science,triglycerides,40,closed-ended,general,qualitative,"The most common dietary lipids are triglycerides, phospholipids, and sterols. Triglycerides, which are composed of glycerol and three fatty acids, are the most prevalent form of fat in the diet and are a major source of energy. Phospholipids, which include lecithin, are essential components of cell membranes and play a role in fat transport. Sterols, such as cholesterol, are important for the synthesis of hormones and vitamin D. These lipids are found in various foods, including oils, butter, nuts, seeds, meat, dairy products, and some plant-based foods.",2025-05-25,560
129,The number of possible isomers increases tremendously as carbon skeletons increase in what?,Science,size,91,closed-ended,general,qualitative,"The number of possible isomers increases tremendously as carbon skeletons increase in length and complexity. As the number of carbon atoms in a molecule increases, the potential for different structural arrangements, including chain branching and the presence of functional groups, also increases. This leads to a greater number of structural isomers, which are compounds with the same molecular formula but different structural arrangements.",2025-05-25,442
130,"In the humid subtropical climate, summers are ____ but winters are very cold.",Science,wet,77,closed-ended,general,qualitative,"In the humid subtropical climate, summers are hot and humid, but winters are generally mild rather than very cold.",2025-05-25,114
131,The body contains how many types of muscle tissue?,Science,three,50,closed-ended,general,quantitative,"The body contains three types of muscle tissue: skeletal muscle, cardiac muscle, and smooth muscle.",2025-05-25,99
132,What is the accelerating pattern of increasing population size called?,Science,exponential growth,70,closed-ended,general,qualitative,"The accelerating pattern of increasing population size is called ""exponential growth."" In exponential growth, the population size increases at a rate proportional to its current size, leading to faster and faster growth as the population becomes larger. This pattern is often represented by a J-shaped curve when graphed over time.",2025-05-25,331
133,What do you call the sudden flow of mud down a slope because of gravity?,Science,mudslide,72,closed-ended,general,qualitative,"The sudden flow of mud down a slope because of gravity is called a ""mudslide"" or ""mudflow.""",2025-05-25,91
134,"What do the liver, gallbladder, and pancreas contribute that aid in digestion?",Science,chemicals,78,closed-ended,general,qualitative,"The liver, gallbladder, and pancreas play crucial roles in digestion by producing and storing substances that help break down food.

1. **Liver**: The liver produces bile, a substance that helps emulsify fats, making them easier to digest and absorb. Bile is essential for the digestion and absorption of dietary fats and fat-soluble vitamins.

2. **Gallbladder**: The gallbladder stores and concentrates bile produced by the liver. When food, especially fatty food, enters the small intestine, the gallbladder releases bile into the small intestine to aid in the digestion of fats.

3. **Pancreas**: The pancreas produces digestive enzymes and bicarbonate. The enzymes include amylase, which breaks down carbohydrates; lipase, which breaks down fats; and proteases, which break down proteins. The bicarbonate neutralizes stomach acid, providing an optimal environment for enzyme activity in the small intestine.

Together, these organs ensure that nutrients from food are effectively broken down and absorbed by the body.",2025-05-25,1022
135,"People with celiac disease have an immune response to what, which ultimately leads to malnutrition, cramping, and diarrhea?",Science,gluten,123,closed-ended,general,qualitative,"People with celiac disease have an immune response to gluten, a protein found in wheat, barley, and rye. This immune reaction damages the lining of the small intestine, leading to malabsorption of nutrients, which can cause symptoms such as malnutrition, cramping, and diarrhea.",2025-05-25,278
136,What should a pregnant woman avoid while pregnant?,Science,toxic substances,50,closed-ended,general,qualitative,"A pregnant woman should avoid the following:

1. Alcohol: Consuming alcohol during pregnancy can lead to fetal alcohol spectrum disorders (FASDs), which can cause developmental issues and birth defects.

2. Smoking: Smoking increases the risk of premature birth, low birth weight, and developmental problems.

3. Certain Foods: Avoid raw or undercooked seafood, eggs, and meat to prevent foodborne illnesses. Also, limit fish high in mercury, such as shark, swordfish, king mackerel, and tilefish.

4. Caffeine: Limit caffeine intake to less than 200 mg per day, as excessive caffeine can increase the risk of miscarriage and low birth weight.

5. Certain Medications: Some medications can harm the developing fetus. Always consult a healthcare provider before taking any medication, including over-the-counter drugs and supplements.

6. Hot Tubs and Saunas: High temperatures can increase the risk of neural tube defects and other complications.

7. Certain Activities: Avoid activities with a high risk of falling or abdominal trauma, such as contact sports, skiing, and horseback riding.

8. Exposure to Toxins: Avoid exposure to harmful chemicals, such as pesticides, lead, and certain cleaning products.

9. Stress: While some stress is normal, excessive stress can have negative effects on pregnancy. Practice stress-reducing techniques like yoga, meditation, or deep breathing exercises.

10. Cat Litter: Avoid changing cat litter to reduce the risk of toxoplasmosis, an infection",2025-05-25,1487
137,"Near-earth asteroids cross paths with earth, meaning they could collide; what are the paths called?",Science,orbits,99,closed-ended,general,qualitative,"The paths of near-Earth asteroids that cross Earth's orbit are called ""Earth-crossing orbits."" These orbits are categorized into two main groups: Aten asteroids, which have orbits that are mostly within Earth's orbit, and Apollo asteroids, which have orbits that extend beyond Earth's orbit. Both groups have the potential to collide with Earth due to their intersecting paths.",2025-05-25,377
138,Skeletal muscles must work in pairs to move bones back and forth at a joint because they can only do what?,Science,contract,106,closed-ended,general,qualitative,"Skeletal muscles must work in pairs to move bones back and forth at a joint because they can only contract, not push. When one muscle in the pair contracts to move a bone in one direction, the opposing muscle in the pair must contract to move the bone back in the opposite direction. This coordinated action allows for smooth and controlled movement at the joint.",2025-05-25,363
139,Evolution over a short period of time at the level of the population is called what?,Science,microevolution,84,closed-ended,general,qualitative,"Evolution over a short period of time at the level of the population is called ""microevolution.""",2025-05-25,96
140,The purpose of scientific investigations generally is to test a what?,Science,hypothesis,69,closed-ended,general,qualitative,"The purpose of scientific investigations generally is to test a hypothesis. A hypothesis is a proposed explanation for a phenomenon, based on limited evidence, that can be tested through experimentation and observation.",2025-05-25,219
141,Which type of pressure forces fluid out of the capillary?,Science,hydrostatic,57,closed-ended,general,qualitative,"Hydrostatic pressure is the type of pressure that forces fluid out of the capillary. It is the pressure exerted by the blood against the walls of the capillaries, and it tends to push fluid out of the capillaries into the surrounding interstitial space. This process is a key component of capillary exchange, where nutrients, gases, and waste products are exchanged between the blood and tissues.",2025-05-25,396
142,Surface tension forces between moleculse cause the surface of liquid to contract to what?,Science,smallest surface area,89,closed-ended,general,qualitative,"Surface tension forces between molecules cause the surface of a liquid to contract to the smallest possible surface area. This phenomenon occurs because the cohesive forces between liquid molecules are stronger at the surface, pulling the molecules inward and minimizing the surface area.",2025-05-25,288
143,What is said about the speed of rotation in systems that create tornadoes?,Science,it is slow,74,closed-ended,general,qualitative,"In systems that create tornadoes, it is said that the speed of rotation is a critical factor. Tornadoes form from severe thunderstorms, particularly supercells, which have a rotating updraft known as a mesocyclone. The speed of rotation within this mesocyclone can intensify, leading to the development of a tornado. The faster the rotation, the more likely it is that a tornado will form. This rotation is influenced by wind shear, which is the change in wind speed and direction with height. High wind shear can enhance the rotation and increase the likelihood of tornado formation.",2025-05-25,584
144,What is a benefit of low sulfur coal over high sulfur coal?,Science,less pollution,59,closed-ended,general,qualitative,"A benefit of low sulfur coal over high sulfur coal is that it produces fewer sulfur dioxide emissions when burned. This is important because sulfur dioxide is a major contributor to air pollution and acid rain, which can have harmful effects on the environment and human health. Using low sulfur coal can help reduce these negative impacts and assist in meeting environmental regulations aimed at controlling air pollution.",2025-05-25,423
145,"Nitrogen is an important macronutrient because it is part of nucleic acids and proteins. atmospheric nitrogen, which is the diatomic molecule n2, or dinitrogen, is the largest pool of nitrogen in these?",Science,terrestrial ecosystems,202,closed-ended,general,qualitative,"Yes, atmospheric nitrogen (N2) is indeed the largest pool of nitrogen on Earth. It makes up about 78% of the Earth's atmosphere by volume. However, most organisms cannot directly utilize atmospheric nitrogen. Instead, they rely on the nitrogen cycle, where certain bacteria and archaea convert atmospheric nitrogen into forms that can be used by plants and animals, such as ammonia, nitrate, and nitrite. This process is known as nitrogen fixation. Once fixed, nitrogen becomes a crucial component of nucleic acids and proteins, which are essential for the growth and functioning of living organisms.",2025-05-25,600
146,Which energy is momentarily stored in tendons after each leap provides a boost for the next leap?,Science,kinetic,97,closed-ended,general,qualitative,"Elastic potential energy is momentarily stored in tendons after each leap, providing a boost for the next leap. This energy is stored when the tendons are stretched and then released, aiding in the efficiency and power of subsequent movements.",2025-05-25,243
147,What do you require to test a hypothesis?,Science,data,41,closed-ended,general,qualitative,"To test a hypothesis, you require the following:

1. **A Clear Hypothesis**: A well-defined, testable statement that predicts an outcome or relationship between variables.

2. **Variables**: Identification of independent and dependent variables. The independent variable is what you change or control, and the dependent variable is what you measure.

3. **Experimental Design**: A structured plan for conducting the experiment, including control and experimental groups to ensure that results are due to the independent variable.

4. **Data Collection Methods**: Tools and techniques for gathering data, such as surveys, experiments, or observations.

5. **Sample Size**: A sufficient number of observations or participants to ensure reliable and valid results.

6. **Statistical Analysis**: Methods to analyze the data collected to determine if the results support or refute the hypothesis.

7. **Control of Confounding Variables**: Strategies to minimize the impact of other variables that could affect the outcome.

8. **Replication**: The ability to repeat the experiment to verify results and ensure reliability.

These components help ensure that the hypothesis testing is systematic, controlled, and capable of producing valid and reliable results.",2025-05-25,1255
148,What is made up of bands of cells that contract for movement?,Science,muscle tissue,61,closed-ended,general,qualitative,"Muscle tissue is made up of bands of cells that contract for movement. There are three types of muscle tissue: skeletal, cardiac, and smooth. Skeletal muscle is responsible for voluntary movements and is attached to bones. Cardiac muscle is found in the heart and is responsible for pumping blood. Smooth muscle is found in the walls of internal organs and helps move substances through the body.",2025-05-25,396
149,"Gases can undergo diffusion, or the opposite, which is what?",Science,effusion,60,closed-ended,general,qualitative,"Gases can undergo diffusion, which is the process of spreading out to evenly fill a space. The opposite of diffusion is effusion, which is the process of a gas escaping through a small opening from a container into a vacuum or another container with lower pressure.",2025-05-25,265
150,Most animals are in which clade?,Science,bilateria,32,closed-ended,general,qualitative,"Most animals are in the clade Bilateria. This clade includes animals that have bilateral symmetry, meaning their body has a left and right side that are mirror images of each other. Bilateria encompasses a vast majority of animal species, including vertebrates, arthropods, mollusks, and many others.",2025-05-25,300
151,Blood from the body enters what chamber of the heart before it is pumped to the right ventricle and then to the lungs?,Science,right atrium,118,closed-ended,general,qualitative,Blood from the body enters the right atrium of the heart before it is pumped to the right ventricle and then to the lungs.,2025-05-25,122
152,"In multicellular organisms, specialized cells may be organized into what, which in turn may be organized into organs?",Science,tissues,117,closed-ended,general,qualitative,"In multicellular organisms, specialized cells may be organized into tissues, which in turn may be organized into organs.",2025-05-25,120
153,What natural process allows water to return again to the earth’s surface?,Science,precipitation,73,closed-ended,general,qualitative,"The natural process that allows water to return to the earth's surface is precipitation. Precipitation occurs when water vapor in the atmosphere condenses into water droplets or ice crystals, forming clouds. When these droplets or crystals become too heavy to remain suspended in the air, they fall to the ground as rain, snow, sleet, or hail, depending on the temperature and atmospheric conditions. This process is a key component of the water cycle, which continuously circulates water between the earth's surface and the atmosphere.",2025-05-25,536
154,What are the only organisms that can perform photosynthesis?,Science,autotrophs,60,closed-ended,general,qualitative,"The organisms that can perform photosynthesis include plants, algae, and certain types of bacteria, such as cyanobacteria. These organisms contain chlorophyll or similar pigments that allow them to capture light energy and convert it into chemical energy through the process of photosynthesis.",2025-05-25,293
155,What is friction that acts on objects that are moving through a fluid?,Science,fluid friction,70,closed-ended,general,qualitative,"The friction that acts on objects moving through a fluid is known as ""drag."" Drag is a type of fluid resistance or fluid friction that opposes the motion of an object through a fluid, which can be a liquid or a gas. It is influenced by factors such as the object's speed, shape, surface roughness, and the fluid's viscosity and density.",2025-05-25,336
156,What substances function as a long-term energy store in the human body and possess long carbon chains that prevent dissolving in water?,Science,triglycerides,135,closed-ended,general,qualitative,"Lipids function as a long-term energy store in the human body and possess long carbon chains that prevent dissolving in water. These molecules, which include fats and oils, are hydrophobic due to their long hydrocarbon chains, making them insoluble in water. Lipids are stored in adipose tissue and can be broken down to provide energy when needed.",2025-05-25,348
157,What are formed when crystals precipitate out from a liquid?,Science,chemical sedimentary rocks,60,closed-ended,general,qualitative,"When crystals precipitate out from a liquid, solid crystalline structures are formed. This process is known as crystallization, where the solute particles in the liquid arrange themselves into a well-defined, repeating pattern, creating a solid crystal. This can occur naturally, such as in the formation of mineral crystals from evaporating water, or artificially in laboratory or industrial processes.",2025-05-25,403
158,Osseous tissue is the tissue that makes up what?,Science,bone,48,closed-ended,general,qualitative,"Osseous tissue is the tissue that makes up bones. It is a type of dense connective tissue that provides structural support and protection to the body, facilitates movement by serving as points of attachment for muscles, and plays a crucial role in the storage of minerals such as calcium and phosphorus.",2025-05-25,303
159,Where are temperatures the lowest?,Science,at the poles,34,closed-ended,general,qualitative,"Temperatures are the lowest in Antarctica, particularly at the East Antarctic Plateau. This region experiences the coldest temperatures on Earth, with recorded lows reaching below -128.6 degrees Fahrenheit (-89.2 degrees Celsius) at the Soviet Union's Vostok Station in 1983. The extreme cold is due to the high altitude, the continent's position at the South Pole, and its ice-covered surface, which reflects sunlight.",2025-05-25,419
160,What do we call the amount of time a substance is stored in a reservoir?,Science,residence time,72,closed-ended,general,qualitative,"The amount of time a substance is stored in a reservoir is called its ""residence time.""",2025-05-25,87
161,who controls the economic activity in a capitalist system,History,a free market,57,closed-ended,general,qualitative,"In a capitalist system, economic activity is primarily controlled by private individuals and businesses. Decisions regarding investment, production, and distribution are driven by market forces such as supply and demand. The role of the government is generally limited to regulation and enforcement of laws to ensure fair competition and protect property rights.",2025-05-25,362
162,when did speaking in tongues start in america,History,by at least 1830,45,closed-ended,general,qualitative,"Speaking in tongues, or glossolalia, became prominent in America with the rise of the Pentecostal movement in the early 20th century. A significant event marking its emergence was the Azusa Street Revival in Los Angeles, which began in 1906. This revival, led by William J. Seymour, is often credited with popularizing the practice of speaking in tongues as a sign of the Holy Spirit's presence among Pentecostal Christians.",2025-05-25,424
163,who wrote what i've done by linkin park,History,Linkin Park,39,closed-ended,general,qualitative,"""What I've Done"" by Linkin Park was written by the band members Mike Shinoda and Chester Bennington.",2025-05-25,100
164,where was the episode beyond the wall filmed,History,Iceland,44,closed-ended,topical,qualitative,"The ""Beyond the Wall"" episode from the television series ""Game of Thrones"" was primarily filmed in Iceland. The country's dramatic and icy landscapes provided the perfect backdrop for the scenes set north of the Wall. Specific locations in Iceland used for filming include the Lake Mývatn area and the Höfðabrekkuheiði hiking area near Vík í Mýrdal.",2025-05-25,349
165,who completed tyndales english translation of the bible,History,Miles Coverdale,55,closed-ended,general,qualitative,"William Tyndale's English translation of the Bible was completed by Miles Coverdale. After Tyndale was executed in 1536, Coverdale finished the translation work and published the complete Bible in English in 1535, known as the Coverdale Bible.",2025-05-25,243
166,which is the biggest building of the world,History,Boeing Everett Factory,42,closed-ended,general,qualitative,"As of the latest data, the biggest building in the world by total floor area is the New Century Global Center in Chengdu, China. It covers approximately 1.7 million square meters (18.3 million square feet).",2025-05-25,206
167,when did messi started playing for barca first team,History,16 November 2003,51,closed-ended,general,qualitative,"Lionel Messi made his official debut for FC Barcelona's first team on November 16, 2003, in a friendly match against FC Porto. His competitive debut came later, on October 16, 2004, in a La Liga match against Espanyol.",2025-05-25,218
168,who is the person who devised the modern periodic table,History,Dmitri Mendeleev,55,closed-ended,general,qualitative,"The modern periodic table was devised by Dmitri Mendeleev, a Russian chemist, in 1869. Mendeleev arranged the elements in order of increasing atomic weight and grouped them based on similar chemical properties, leaving gaps for elements that had not yet been discovered. His work laid the foundation for the periodic table used today.",2025-05-25,334
169,what type of cells are primarily responsible for the secretion of intrinsic factor,History,Parietal cells,82,closed-ended,general,qualitative,"Parietal cells, also known as oxyntic cells, are primarily responsible for the secretion of intrinsic factor. These cells are located in the lining of the stomach and play a crucial role in the absorption of vitamin B12 by producing intrinsic factor, which binds to vitamin B12 and facilitates its absorption in the small intestine.",2025-05-25,332
170,who wrote king arthur legend of the sword,History,"Lionel Wigram, Joby Harold, Guy Ritchie",41,closed-ended,general,qualitative,"The 2017 film ""King Arthur: Legend of the Sword"" was written by Joby Harold, Guy Ritchie, and Lionel Wigram.",2025-05-25,108
171,who played ward cleaver on leave it to beaver,History,Eugene Hugh Beaumont,45,closed-ended,general,qualitative,"Hugh Beaumont played the character Ward Cleaver on the television show ""Leave It to Beaver.""",2025-05-25,92
172,where does joffrey live in game of thrones,History,King's Landing,42,closed-ended,general,qualitative,"Joffrey Baratheon primarily resides in King's Landing, the capital of the Seven Kingdoms, where the Iron Throne is located. As a member of the royal family, he lives in the Red Keep, the castle that serves as the seat of the king.",2025-05-25,230
173,who played lady capulet in romeo and juliet,History,Natascha McElhone,43,closed-ended,general,qualitative,"In the 1968 film adaptation of ""Romeo and Juliet"" directed by Franco Zeffirelli, Lady Capulet was played by Natasha Parry. In the 1996 film adaptation directed by Baz Luhrmann, known as ""Romeo + Juliet,"" Lady Capulet was portrayed by Diane Venora.",2025-05-25,247
174,who sang sleeping single in a double bed,History,Barbara Mandrell,40,closed-ended,general,qualitative,"""Sleeping Single in a Double Bed"" was sung by Barbara Mandrell.",2025-05-25,63
175,goalkeepers with most clean sheets in premier league,History,"Petr Čech, Edwin van der Sar",52,closed-ended,topical,quantitative,"The goalkeeper with the most clean sheets in Premier League history is Petr Čech, who achieved 202 clean sheets during his time with Chelsea and Arsenal.",2025-05-25,153
176,who made the universal declaration of human rights,History,the United Nations General Assembly,50,closed-ended,general,qualitative,"The Universal Declaration of Human Rights was drafted by the United Nations Commission on Human Rights, which was chaired by Eleanor Roosevelt. The drafting committee included members from various countries, with significant contributions from figures such as René Cassin of France, Charles Malik of Lebanon, Peng Chun Chang of China, and John Humphrey of Canada. The declaration was adopted by the United Nations General Assembly on December 10, 1948.",2025-05-25,452
177,who are the three individuals named in a trust,History,"the trustor or settlor, the trustee, the beneficiary",46,open-ended,general,qualitative,"In a trust, the three primary individuals typically named are:

1. **Grantor (or Settlor or Trustor):** The person who creates the trust and transfers assets into it.

2. **Trustee:** The individual or entity responsible for managing the trust's assets according to the terms set out in the trust document.

3. **Beneficiary:** The person or people who are entitled to receive benefits or assets from the trust. 

These roles are essential for the establishment and operation of a trust.",2025-05-25,487
178,when was the last time redskins won a playoff game,History,2005,50,closed-ended,topical,quantitative,"The Washington Redskins, now known as the Washington Commanders, last won a playoff game on January 7, 2006. They defeated the Tampa Bay Buccaneers 17-10 in the NFC Wild Card round.",2025-05-25,181
179,the greenback party and farmers' alliances both called for,History,unbacked currency,58,open-ended,general,qualitative,"The Greenback Party and the Farmers' Alliances both called for economic reforms that would benefit farmers and working-class citizens. Specifically, they advocated for the expansion of the money supply through the issuance of paper money (greenbacks) and the free coinage of silver to combat deflation and make credit more accessible. They also supported measures such as the regulation of railroad rates and the establishment of cooperative buying and selling to reduce the economic power of monopolies and middlemen. These demands were part of a broader push for economic justice and political reform during the late 19th century in the United States.",2025-05-25,653
180,largest national park in india in terms of area,History,Hemis National Park,47,closed-ended,general,qualitative,"The largest national park in India in terms of area is Hemis National Park. Located in the eastern Ladakh region of Jammu and Kashmir, it covers an area of about 4,400 square kilometers. Hemis National Park is renowned for its snow leopard population and diverse range of flora and fauna.",2025-05-25,288
181,when did mr. peabody and sherman come out,History,"March 7, 2014",41,closed-ended,topical,qualitative,"""Mr. Peabody & Sherman"" was released in the United States on March 7, 2014.",2025-05-25,75
182,words on the front of great seal of the united states,History,E pluribus unum,53,closed-ended,general,qualitative,"The words on the front of the Great Seal of the United States are ""E Pluribus Unum,"" which is Latin for ""Out of many, one."" This phrase reflects the union of the original thirteen colonies into one nation.",2025-05-25,205
183,how many died during the bombing of hiroshima and nagasaki,History,"at least 129,000 people",58,closed-ended,general,quantitative,"The atomic bombing of Hiroshima on August 6, 1945, resulted in an estimated 140,000 deaths by the end of that year. The bombing of Nagasaki on August 9, 1945, resulted in an estimated 74,000 deaths by the end of 1945. These figures include both immediate deaths and those who died later from injuries and radiation exposure.",2025-05-25,324
184,when does episode 2 of american horror story season 7 air,History,"September 12, 2017",57,closed-ended,topical,qualitative,"Episode 2 of American Horror Story Season 7, titled ""Don't Be Afraid of the Dark,"" aired on September 12, 2017.",2025-05-25,111
185,who approves the head of the cabinet departments,History,United States Senate,48,closed-ended,general,qualitative,"The head of each cabinet department in the United States, known as a Secretary, is nominated by the President and must be confirmed by the Senate. This process involves hearings before the relevant Senate committee, followed by a vote in the full Senate. If the nominee receives a majority of the votes, they are confirmed and can assume their position as the head of the department.",2025-05-25,383
186,who sings that's how strong my love is,History,"Otis Redding, O. V. Wright",38,closed-ended,general,qualitative,"""That's How Strong My Love Is"" is a song originally sung by O.V. Wright in 1964. It was later covered by several artists, including Otis Redding, whose version is one of the most well-known.",2025-05-25,190
187,what does gop in american politics stand for,History,Grand Old Party,44,closed-ended,general,qualitative,"In American politics, ""GOP"" stands for ""Grand Old Party,"" which is a nickname for the Republican Party.",2025-05-25,103
188,in the absence of oxygen muscle cells may convert pyruvic acid into what compound,History,lactate,81,closed-ended,general,qualitative,"In the absence of oxygen, muscle cells convert pyruvic acid into lactic acid. This process is known as anaerobic glycolysis or lactic acid fermentation, and it allows for the continued production of ATP when oxygen levels are insufficient for aerobic respiration.",2025-05-25,263
189,where will the next summer olympics be held 2020,History,Tokyo,48,closed-ended,topical,qualitative,"The 2020 Summer Olympics were held in Tokyo, Japan. Due to the COVID-19 pandemic, the event was postponed and took place from July 23 to August 8, 2021.",2025-05-25,152
190,what country has the most number of population,History,China,46,closed-ended,general,quantitative,"China has the largest population of any country in the world. As of the latest estimates, China's population is over 1.4 billion people.",2025-05-25,136
